2022-10-06 07:29:33.43, 10, 2->0, 8.73, car
2022-10-06 07:29:34.23, 10, 2->0, 7.62, car
2022-10-06 07:29:35.43, 10, 2->0, 7.8, car
2022-10-06 07:29:35.97, 10, 2->0, 7.93, car
2022-10-06 07:29:36.03, 10, 2->0, 7.4, car
2022-10-06 07:29:36.77, 10, 2->0, 8.56, truck_s
2022-10-06 07:29:36.83, 10, 0->2, 10.33, car
2022-10-06 07:29:37.23, 10, 1->2, 8.61, car
2022-10-06 07:29:37.90, 10, 2->3, 9.34, car
2022-10-06 07:29:41.77, 10, 1->2, 7.42, car
2022-10-06 07:29:42.70, 10, 0->1, 15.29, car
2022-10-06 07:29:53.30, 10, 0->3, 3.31, truck_s
2022-10-06 07:30:05.63, 10, 0->1, 15.59, car
2022-10-06 07:30:07.83, 10, 0->1, 15.65, car
2022-10-06 07:30:08.37, 10, 2->3, 8.0, truck_s
2022-10-06 07:30:16.57, 10, 1->2, 10.57, car
2022-10-06 07:30:21.57, 10, 3->1, 5.42, car
2022-10-06 07:30:23.23, 10, 3->1, 5.47, car
2022-10-06 07:30:40.17, 10, 3->1, 6.13, car
2022-10-06 07:30:45.77, 10, 3->0, 0.78, car
2022-10-06 07:30:45.90, 10, 3->1, 9.07, car
2022-10-06 07:30:50.90, 10, 3->0, 8.95, car
2022-10-06 07:30:53.17, 10, 3->0, 11.13, car
2022-10-06 07:30:55.70, 10, 3->0, 10.81, car
2022-10-06 07:30:57.10, 10, 3->0, 12.16, car
2022-10-06 07:30:57.97, 10, 3->1, 6.3, truck_s
2022-10-06 07:31:01.17, 10, 3->0, 14.12, car
2022-10-06 07:31:02.43, 10, 1->2, 10.9, car
2022-10-06 07:31:04.77, 10, 3->0, 15.6, car
2022-10-06 07:31:04.90, 10, 1->2, 17.29, truck_s
2022-10-06 07:31:08.83, 10, 1->2, 10.44, car
2022-10-06 07:31:09.63, 10, 3->0, 17.33, car
2022-10-06 07:31:09.83, 10, 1->2, 16.0, car
2022-10-06 07:31:13.30, 10, 3->0, 12.02, car
2022-10-06 07:31:14.83, 10, 3->0, 15.13, car
2022-10-06 07:31:16.83, 10, 3->0, 16.78, car
2022-10-06 07:31:18.30, 10, 3->1, 7.46, car
2022-10-06 07:31:19.90, 10, 3->0, 16.35, car
2022-10-06 07:31:22.57, 10, 1->2, 19.36, car
2022-10-06 07:31:26.57, 10, 2->0, 8.59, car
2022-10-06 07:31:27.63, 10, 2->0, 5.58, car
2022-10-06 07:31:27.83, 10, 2->0, 8.09, car
2022-10-06 07:31:28.43, 10, 2->0, 4.61, truck_s
2022-10-06 07:31:29.33, 10, 0->2, 5.06, truck_s
2022-10-06 07:31:29.73, 10, 0->2, 4.13, truck_s
2022-10-06 07:31:30.33, 10, 2->0, 7.11, car
2022-10-06 07:31:30.79, 10, 2->0, 4.81, car
2022-10-06 07:31:30.99, 10, 0->2, 5.23, car
2022-10-06 07:31:31.26, 10, 2->0, 6.86, car
2022-10-06 07:31:31.33, 10, 0->2, 4.64, car
2022-10-06 07:31:32.66, 10, 2->0, 7.99, car
2022-10-06 07:31:32.99, 10, 2->0, 6.17, car
2022-10-06 07:31:33.19, 10, 2->0, 6.78, car
2022-10-06 07:31:33.59, 10, 0->2, 5.57, truck_s
2022-10-06 07:31:33.79, 10, 0->2, 4.92, car
2022-10-06 07:31:35.06, 10, 0->2, 5.33, car
2022-10-06 07:31:35.06, 10, 1->2, 3.0, car
2022-10-06 07:31:35.13, 10, 0->2, 4.56, car
2022-10-06 07:31:35.53, 10, 0->2, 5.36, car
2022-10-06 07:31:35.73, 10, 2->0, 7.45, car
2022-10-06 07:31:36.06, 10, 2->0, 7.31, car
2022-10-06 07:31:36.33, 10, 2->0, 6.88, truck_s
2022-10-06 07:31:36.86, 10, 0->2, 6.07, car
2022-10-06 07:31:38.06, 10, 0->2, 5.09, car
2022-10-06 07:31:38.46, 10, 2->0, 7.81, car
2022-10-06 07:31:38.79, 10, 0->2, 6.5, car
2022-10-06 07:31:39.53, 10, 0->2, 4.43, car
2022-10-06 07:31:40.13, 10, 2->0, 8.71, car
2022-10-06 07:31:40.39, 10, 0->2, 4.12, bus_m
2022-10-06 07:31:40.73, 10, 2->0, 9.72, car
2022-10-06 07:31:40.99, 10, 0->2, 6.31, car
2022-10-06 07:31:41.19, 10, 0->2, 4.63, car
2022-10-06 07:31:41.93, 10, 2->0, 8.67, car
2022-10-06 07:31:41.99, 10, 2->0, 6.99, car
2022-10-06 07:31:42.46, 10, 2->0, 11.12, car
2022-10-06 07:31:43.19, 10, 2->0, 7.44, car
2022-10-06 07:31:43.39, 10, 0->2, 7.73, car
2022-10-06 07:31:43.59, 10, 0->2, 4.55, car
2022-10-06 07:31:43.86, 10, 2->0, 8.76, car
2022-10-06 07:31:44.53, 10, 2->0, 8.43, car
2022-10-06 07:31:45.33, 10, 0->2, 4.3, bus_m
2022-10-06 07:31:45.46, 10, 0->2, 6.63, car
2022-10-06 07:31:45.46, 10, 0->2, 3.92, car
2022-10-06 07:31:45.73, 10, 2->0, 8.02, car
2022-10-06 07:31:47.26, 10, 2->0, 10.48, car
2022-10-06 07:31:47.39, 10, 0->2, 7.04, car
2022-10-06 07:31:47.46, 10, 2->0, 8.64, car
2022-10-06 07:31:48.19, 10, 0->2, 4.13, car
2022-10-06 07:31:49.19, 10, 0->2, 4.02, bus_m
2022-10-06 07:31:49.86, 10, 2->0, 8.68, bus_m
2022-10-06 07:31:50.06, 10, 0->2, 5.83, car
2022-10-06 07:31:51.06, 10, 2->0, 8.53, car
2022-10-06 07:31:51.13, 10, 0->2, 4.53, car
2022-10-06 07:31:51.26, 10, 2->0, 6.87, car
2022-10-06 07:31:51.59, 10, 0->2, 6.43, car
2022-10-06 07:31:51.79, 10, 2->0, 8.45, car
2022-10-06 07:31:52.13, 10, 2->0, 7.89, car
2022-10-06 07:31:52.53, 10, 0->2, 3.68, car
2022-10-06 07:31:52.86, 10, 2->0, 8.01, car
2022-10-06 07:31:52.86, 10, 0->2, 4.48, car
2022-10-06 07:31:52.93, 10, 0->2, 6.22, car
2022-10-06 07:31:53.19, 10, 2->0, 8.26, car
2022-10-06 07:31:54.86, 10, 0->2, 4.69, car
2022-10-06 07:31:55.66, 10, 2->0, 7.44, car
2022-10-06 07:31:56.26, 10, 2->0, 9.35, car
2022-10-06 07:31:56.53, 10, 0->2, 7.36, car
2022-10-06 07:31:56.86, 10, 0->2, 5.21, truck_m
2022-10-06 07:31:57.33, 10, 2->0, 7.43, car
2022-10-06 07:31:58.13, 10, 2->0, 8.37, car
