2022-10-13 07:30:17.44, 12, 0->1, 56.37, car
2022-10-13 07:33:28.56, 12, 0->1, 35.23, car
2022-10-13 07:37:27.38, 12, 0->1, 41.64, truck_s
2022-10-13 07:43:22.39, 12, 0->1, 40.54, car
2022-10-13 07:47:39.34, 12, 0->1, 45.74, car
2022-10-13 07:48:18.27, 12, 0->1, 47.66, car
2022-10-13 07:50:18.33, 12, 0->1, 48.25, truck_s
2022-10-13 07:50:32.80, 12, 0->1, 39.36, truck_s
2022-10-13 07:52:02.02, 12, 0->1, 42.08, truck_s
2022-10-13 07:54:48.08, 12, 0->1, 16.68, car
2022-10-13 07:54:55.81, 12, 0->1, 22.52, car
2022-10-13 07:56:03.01, 12, 0->1, 46.0, car
2022-10-13 07:56:29.70, 12, 0->1, 40.72, car
2022-10-13 07:57:15.70, 12, 0->1, 52.66, car
2022-10-13 07:57:54.50, 12, 0->1, 40.83, car
2022-10-13 07:57:59.03, 12, 0->1, 44.68, truck_s
2022-10-13 07:59:26.10, 12, 0->1, 46.28, car
2022-10-13 07:59:37.76, 12, 0->1, 47.16, car
2022-10-13 08:00:48.89, 12, 0->1, 40.9, car
2022-10-13 08:04:09.44, 12, 0->1, 35.29, car
2022-10-13 08:04:11.51, 12, 0->1, 45.22, car
2022-10-13 08:05:28.50, 12, 0->1, 33.07, car
2022-10-13 08:10:06.39, 12, 0->1, 51.46, car
2022-10-13 08:11:50.71, 12, 0->1, 37.74, car
2022-10-13 08:13:19.81, 12, 0->1, 54.93, car
2022-10-13 08:13:43.41, 12, 0->1, 45.78, car
2022-10-13 08:14:44.47, 12, 0->1, 54.66, car
2022-10-13 08:16:33.59, 12, 0->1, 35.27, car
2022-10-13 08:16:43.46, 12, 0->1, 41.3, car
2022-10-13 08:18:36.15, 12, 0->1, 40.14, car
2022-10-13 08:18:51.28, 12, 0->1, 47.74, car
2022-10-13 08:21:36.14, 12, 0->1, 40.45, car
2022-10-13 08:21:49.67, 12, 0->1, 46.43, car
2022-10-13 08:22:04.27, 12, 0->1, 66.94, truck_s
2022-10-13 08:24:22.43, 12, 0->1, 54.93, car
2022-10-13 08:24:25.03, 12, 0->1, 52.97, car
2022-10-13 08:24:32.16, 12, 0->1, 53.48, car
2022-10-13 08:24:36.50, 12, 0->1, 55.51, car
2022-10-13 08:29:11.68, 12, 0->1, 11.66, car
2022-10-13 08:31:05.24, 12, 0->1, 40.76, car
2022-10-13 08:31:16.30, 12, 0->1, 21.61, car
2022-10-13 08:32:55.96, 12, 0->1, 15.39, car
2022-10-13 08:33:23.69, 12, 0->1, 45.02, car
2022-10-13 08:34:05.96, 12, 0->1, 34.59, car
2022-10-13 08:36:19.85, 12, 0->1, 40.18, car
2022-10-13 08:36:36.05, 12, 0->1, 51.75, car
2022-10-13 08:37:10.45, 12, 0->1, 35.68, car
2022-10-13 08:37:29.45, 12, 0->1, 25.64, car
2022-10-13 08:38:47.57, 12, 0->1, 26.57, car
2022-10-13 08:38:50.97, 12, 0->1, 38.87, car
2022-10-13 08:39:08.84, 12, 0->1, 42.14, car
2022-10-13 08:39:47.31, 12, 0->1, 39.11, car
2022-10-13 08:39:52.84, 12, 0->1, 37.43, car
2022-10-13 08:41:42.93, 12, 0->1, 36.52, car
2022-10-13 08:44:38.05, 12, 0->1, 82.67, car
2022-10-13 08:45:23.79, 12, 0->1, 48.31, car
2022-10-13 08:45:47.39, 12, 0->1, 33.43, car
2022-10-13 08:46:56.94, 12, 0->1, 52.34, car
2022-10-13 08:47:58.41, 12, 0->1, 35.41, car
2022-10-13 08:50:58.80, 12, 0->1, 44.95, car
2022-10-13 08:51:05.73, 12, 0->1, 31.77, car
2022-10-13 08:53:18.08, 12, 0->1, 40.04, car
2022-10-13 08:53:35.02, 12, 0->1, 36.26, car
2022-10-13 08:53:39.68, 12, 0->1, 53.78, car
2022-10-13 08:55:17.28, 12, 0->1, 48.32, car
2022-10-13 08:55:36.41, 12, 0->1, 41.4, car
2022-10-13 08:55:40.48, 12, 0->1, 34.74, truck_s
2022-10-13 08:55:55.28, 12, 0->1, 34.67, truck_s
2022-10-13 08:58:40.36, 12, 0->1, 52.5, car
2022-10-13 08:59:16.43, 12, 0->1, 31.94, car
2022-10-13 09:00:12.23, 12, 0->1, 48.58, car
2022-10-13 09:01:38.89, 12, 0->1, 31.59, truck_s
2022-10-13 09:02:22.05, 12, 0->1, 28.89, car
2022-10-13 09:02:25.45, 12, 0->1, 31.7, truck_s
2022-10-13 09:06:27.30, 12, 0->1, 47.76, car
2022-10-13 09:07:07.63, 12, 0->1, 41.47, car
2022-10-13 09:09:35.25, 12, 0->1, 41.25, car
2022-10-13 09:09:44.59, 12, 0->1, 31.68, car
2022-10-13 09:10:14.72, 12, 0->1, 40.89, car
2022-10-13 09:12:34.85, 12, 0->1, 19.71, car
2022-10-13 09:13:01.25, 12, 0->1, 48.41, car
2022-10-13 09:15:54.80, 12, 0->1, 33.01, car
2022-10-13 09:17:59.06, 12, 0->1, 28.18, car
2022-10-13 09:18:39.33, 12, 0->1, 39.94, truck_s
2022-10-13 09:19:36.55, 12, 0->1, 39.4, car
2022-10-13 09:21:15.41, 12, 0->1, 31.53, car
2022-10-13 09:21:25.55, 12, 0->1, 41.85, car
2022-10-13 09:24:11.34, 12, 0->1, 45.44, car
2022-10-13 09:31:05.64, 12, 0->1, 37.24, car
2022-10-13 14:04:14.25, 12, 0->1, 6.29, car
2022-10-13 14:04:23.72, 12, 0->1, 30.78, truck_s
2022-10-13 14:10:23.26, 12, 0->1, 44.35, car
2022-10-13 14:10:31.06, 12, 0->1, 38.88, car
2022-10-13 14:12:56.71, 12, 0->1, 12.45, car
2022-10-13 14:13:00.25, 12, 0->1, 21.2, car
2022-10-13 14:13:17.11, 12, 0->1, 56.02, truck_s
2022-10-13 14:13:30.18, 12, 0->1, 34.85, car
2022-10-13 14:13:53.65, 12, 0->1, 25.64, truck_s
2022-10-13 14:15:34.47, 12, 0->1, 33.17, car
2022-10-13 14:15:51.74, 12, 0->1, 32.19, car
2022-10-13 14:16:01.27, 12, 0->1, 62.1, car
2022-10-13 14:18:31.79, 12, 0->1, 40.15, car
2022-10-13 14:21:08.22, 12, 0->1, 64.32, car
2022-10-13 14:23:39.48, 12, 0->1, 27.06, car
2022-10-13 14:23:44.81, 12, 0->1, 47.38, truck_s
2022-10-13 14:26:34.29, 12, 0->1, 35.68, truck_s
2022-10-13 14:26:38.76, 12, 0->1, 33.25, car
2022-10-13 14:26:53.29, 12, 0->1, 1.75, car
2022-10-13 14:26:58.83, 12, 0->1, 13.29, car
2022-10-13 14:27:09.23, 12, 0->1, 13.6, car
2022-10-13 14:28:52.69, 12, 0->1, 28.53, car
2022-10-13 14:29:09.62, 12, 0->1, 53.1, car
2022-10-13 14:32:10.84, 12, 0->1, 35.32, car
2022-10-13 14:32:23.44, 12, 0->1, 33.42, car
2022-10-13 14:36:53.42, 12, 0->1, 36.78, car
2022-10-13 14:36:56.29, 12, 0->1, 36.31, truck_s
2022-10-13 14:42:00.56, 12, 0->1, 25.89, car
2022-10-13 14:42:37.30, 12, 0->1, 33.86, truck_s
2022-10-13 14:45:02.32, 12, 0->1, 41.94, car
2022-10-13 14:50:32.39, 12, 0->1, 9.34, car
2022-10-13 14:52:46.12, 12, 0->1, 38.92, truck_s
2022-10-13 14:57:58.06, 12, 0->1, 32.39, car
2022-10-13 14:58:35.46, 12, 0->1, 45.29, car
2022-10-13 15:04:01.87, 12, 0->1, 36.64, car
2022-10-13 15:06:00.57, 12, 0->1, 38.89, car
2022-10-13 15:06:03.63, 12, 0->1, 33.15, car
2022-10-13 15:07:12.96, 12, 0->1, 35.54, car
2022-10-13 15:08:37.69, 12, 0->1, 44.72, car
2022-10-13 15:08:41.69, 12, 0->1, 26.42, truck_s
2022-10-13 15:08:45.43, 12, 0->1, 34.21, truck_s
2022-10-13 15:09:51.15, 12, 0->1, 19.48, car
2022-10-13 15:09:55.55, 12, 0->1, 13.56, truck_s
2022-10-13 15:10:00.88, 12, 0->1, 14.51, car
2022-10-13 15:10:11.88, 12, 0->1, 3.6, truck_s
2022-10-13 15:12:02.71, 12, 0->1, 19.71, car
2022-10-13 15:14:03.97, 12, 0->1, 33.09, car
2022-10-13 15:15:37.30, 12, 0->1, 26.16, car
2022-10-13 15:16:28.10, 12, 0->1, 25.89, car
2022-10-13 15:19:48.45, 12, 0->1, 39.34, car
2022-10-13 15:20:01.71, 12, 0->1, 39.78, truck_s
2022-10-13 15:20:05.25, 12, 0->1, 39.65, truck_s
2022-10-13 15:20:13.58, 12, 0->1, 40.04, car
2022-10-13 15:26:31.92, 12, 0->1, 14.89, truck_s
2022-10-13 15:29:52.87, 12, 0->1, 34.47, truck_s
2022-10-13 15:32:51.46, 12, 0->1, 39.68, car
2022-10-13 15:33:05.73, 12, 0->1, 36.92, car
2022-10-13 15:37:48.47, 12, 0->1, 31.52, truck_s
2022-10-13 15:38:43.54, 12, 0->1, 44.76, car
2022-10-13 15:43:36.75, 12, 0->1, 33.44, truck_s
2022-10-13 15:43:55.82, 12, 0->1, 4.6, truck_s
2022-10-13 15:46:08.24, 12, 0->1, 48.03, truck_s
2022-10-13 15:46:18.18, 12, 0->1, 36.92, truck_s
2022-10-13 15:54:05.71, 12, 0->1, 42.14, car
2022-10-13 15:54:14.44, 12, 0->1, 22.46, truck_s
2022-10-13 15:55:07.30, 12, 0->1, 38.48, car
2022-10-13 15:56:29.20, 12, 0->1, 40.94, truck_s
2022-10-13 15:56:53.20, 12, 0->1, 39.89, car
2022-10-13 17:33:25.69, 12, 0->1, 35.07, car
2022-10-13 17:41:37.15, 12, 0->1, 24.89, car
2022-10-13 17:41:44.68, 12, 0->1, 35.42, car
2022-10-13 17:42:41.55, 12, 0->1, 45.09, car
2022-10-13 17:44:21.97, 12, 0->1, 67.75, car
2022-10-13 17:44:41.97, 12, 0->1, 51.32, truck_s
2022-10-13 17:47:11.43, 12, 0->1, 39.72, truck_s
2022-10-13 17:51:20.65, 12, 0->1, 38.53, car
2022-10-13 17:54:00.57, 12, 0->1, 51.48, car
2022-10-13 17:54:19.77, 12, 0->1, 39.29, car
2022-10-13 17:59:06.25, 12, 0->1, 37.49, car
2022-10-13 18:06:19.09, 12, 0->1, 34.55, truck_s
2022-10-13 18:13:00.03, 12, 0->1, 23.84, car
2022-10-13 18:13:04.56, 12, 0->1, 17.67, truck_s
2022-10-13 18:14:09.09, 12, 0->1, 12.28, car
2022-10-13 18:18:21.84, 12, 0->1, 51.83, car
2022-10-13 18:23:37.92, 12, 0->1, 40.76, truck_s
2022-10-13 18:25:05.99, 12, 0->1, 41.71, car
2022-10-13 18:33:00.26, 12, 0->1, 47.92, car
2022-10-13 18:34:57.15, 12, 0->1, 25.92, car
2022-10-13 18:36:15.61, 12, 0->1, 46.02, car
2022-10-13 18:42:28.75, 12, 0->1, 39.61, car
2022-10-13 18:45:12.50, 12, 0->1, 41.8, car
2022-10-13 18:45:19.64, 12, 0->1, 39.77, car
2022-10-13 18:56:24.79, 12, 0->1, 45.36, car
2022-10-13 19:02:51.00, 12, 0->1, 45.72, car
2022-10-13 19:08:21.68, 12, 0->1, 21.07, car
2022-10-13 19:12:11.60, 12, 0->1, 62.74, car
2022-10-13 19:15:20.16, 12, 0->1, 44.53, car
2022-10-13 19:20:34.77, 12, 0->1, 40.33, car
2022-10-13 19:24:03.42, 12, 0->1, 31.92, car
2022-10-13 19:24:37.69, 12, 0->1, 33.41, car
2022-10-13 19:27:38.51, 12, 0->1, 31.81, car
