2022-10-06 07:29:14.57, 13, 3->0, 6.64, car
2022-10-06 07:29:14.77, 13, 6->7, 13.58, car
2022-10-06 07:29:18.83, 13, 3->0, 10.31, car
2022-10-06 07:29:20.83, 13, 5->4, 6.11, bus_m
2022-10-06 07:29:26.97, 13, 3->0, 13.98, car
2022-10-06 07:29:27.03, 13, 5->4, 9.66, car
2022-10-06 07:29:27.23, 13, 5->4, 7.58, car
2022-10-06 07:29:29.63, 13, 5->4, 15.26, car
2022-10-06 07:29:31.77, 13, 5->4, 16.7, car
2022-10-06 07:29:31.83, 13, 3->0, 4.57, car
2022-10-06 07:29:37.97, 13, 5->4, 18.6, bus_m
2022-10-06 07:29:40.50, 13, 6->7, 15.11, car
2022-10-06 07:29:51.50, 13, 6->7, 13.53, bus_m
2022-10-06 07:29:56.50, 13, 5->4, 16.85, bus_m
2022-10-06 07:29:57.10, 13, 0->3, 2.53, bus_m
2022-10-06 07:29:58.17, 13, 5->4, 6.23, car
2022-10-06 07:30:00.37, 13, 5->4, 13.98, car
2022-10-06 07:30:07.57, 13, 5->4, 30.93, bus_m
2022-10-06 07:30:12.97, 13, 5->4, 16.18, bus_m
2022-10-06 07:30:17.50, 13, 5->4, 23.98, bus_m
2022-10-06 07:30:27.83, 13, 5->4, 17.68, bus_m
2022-10-06 07:30:32.43, 13, 5->4, 15.62, bus_m
2022-10-06 07:30:34.17, 13, 5->4, 17.21, bus_m
2022-10-06 07:30:43.37, 13, 5->4, 5.05, car
2022-10-06 07:31:36.96, 13, 5->4, 10.67, car
2022-10-06 07:31:38.69, 13, 5->4, 30.97, car
2022-10-06 07:31:39.83, 13, 5->4, 6.31, car
2022-10-06 07:31:46.63, 13, 5->4, 7.16, car
2022-10-06 07:32:15.76, 13, 6->7, 13.9, car
2022-10-06 07:32:31.43, 13, 6->7, 10.76, car
2022-10-06 07:32:39.89, 13, 5->4, 8.13, car
2022-10-06 07:33:23.19, 13, 0->3, 3.04, car
2022-10-06 07:33:25.59, 13, 0->3, 2.85, car
2022-10-06 07:33:36.12, 13, 6->7, 6.94, car
2022-10-06 07:33:39.72, 13, 5->4, 36.5, bus_m
2022-10-06 07:33:42.65, 13, 5->4, 46.21, bus_m
2022-10-06 07:33:47.65, 13, 5->4, 16.15, bus_m
2022-10-06 07:33:52.52, 13, 5->4, 17.23, car
2022-10-06 07:33:53.32, 13, 5->4, 12.15, car
2022-10-06 07:33:55.19, 13, 5->4, 10.63, car
2022-10-06 07:33:56.85, 13, 5->4, 13.09, car
2022-10-06 07:34:02.32, 13, 5->4, 13.77, car
2022-10-06 07:34:06.99, 13, 5->4, 10.25, car
2022-10-06 07:34:40.05, 13, 6->7, 17.23, car
2022-10-06 07:35:29.38, 13, 6->7, 19.06, car
2022-10-06 07:36:07.18, 13, 5->4, 11.7, bus_m
2022-10-06 07:36:09.38, 13, 4->5, 162.86, bus_m
2022-10-06 07:36:39.31, 13, 5->4, 7.7, car
2022-10-06 07:36:39.71, 13, 5->4, 13.87, bus_m
2022-10-06 07:36:43.77, 13, 5->4, 11.75, car
2022-10-06 07:36:51.17, 13, 0->3, 0.31, car
2022-10-06 07:37:06.24, 13, 0->3, 4.54, truck_s
2022-10-06 07:37:08.24, 13, 0->3, 5.73, car
2022-10-06 07:37:13.51, 13, 5->4, 12.7, truck_s
2022-10-06 07:37:25.44, 13, 5->4, 23.73, bus_m
2022-10-06 07:37:34.91, 13, 5->4, 12.75, bus_m
2022-10-06 07:37:45.31, 13, 5->4, 37.14, bus_m
2022-10-06 07:38:28.93, 13, 5->4, 112.73, bus_m
2022-10-06 07:39:35.87, 13, 5->4, 13.52, bus_m
2022-10-06 07:39:48.33, 13, 5->4, 7.26, car
2022-10-06 07:39:49.46, 13, 5->4, 6.91, bus_m
2022-10-06 07:39:52.46, 13, 3->0, 52.14, bus_m
2022-10-06 07:39:54.86, 13, 5->4, 10.88, car
2022-10-06 07:39:57.46, 13, 5->4, 46.42, car
2022-10-06 07:39:58.86, 13, 1->0, 3.47, bus_m
2022-10-06 07:40:28.40, 13, 5->4, 7.42, bus_m
2022-10-06 07:40:36.40, 13, 5->4, 18.67, bus_m
2022-10-06 07:40:38.20, 13, 6->7, 15.33, car
2022-10-06 07:40:41.00, 13, 5->4, 21.05, bus_m
2022-10-06 07:40:48.86, 13, 5->4, 27.38, bus_m
2022-10-06 07:40:52.26, 13, 5->4, 67.08, bus_m
2022-10-06 07:40:56.93, 13, 5->4, 20.92, bus_m
2022-10-06 07:40:57.80, 13, 5->4, 39.5, bus_m
2022-10-06 07:40:59.06, 13, 5->4, 20.6, car
2022-10-06 07:41:03.60, 13, 5->4, 10.77, car
2022-10-06 07:41:06.06, 13, 5->4, 15.42, bus_m
2022-10-06 07:41:09.06, 13, 5->4, 14.6, car
2022-10-06 07:41:24.00, 13, 2->0, 4.68, bus_m
2022-10-06 07:41:35.00, 13, 5->4, 2.12, car
2022-10-06 07:41:38.60, 13, 5->4, 14.36, car
2022-10-06 07:41:41.13, 13, 5->4, 10.05, car
2022-10-06 07:41:43.93, 13, 5->4, 10.92, car
2022-10-06 07:41:44.40, 13, 4->5, 36.94, car
2022-10-06 07:41:46.05, 13, 5->4, 12.04, car
2022-10-06 07:41:50.92, 13, 5->4, 7.59, car
2022-10-06 07:41:51.12, 13, 5->4, 10.7, car
2022-10-06 07:42:39.59, 13, 6->7, 3.53, car
2022-10-06 07:43:01.32, 13, 5->4, 10.24, car
2022-10-06 07:43:03.92, 13, 5->4, 11.08, car
2022-10-06 07:43:25.05, 13, 5->4, 6.36, bus_m
2022-10-06 07:44:10.48, 13, 5->4, 11.3, bus_m
