2022-10-12 07:29:10.09, 14, 0->1, 26.0, car
2022-10-12 07:29:13.36, 14, 0->1, 26.86, car
2022-10-12 07:29:17.09, 14, 0->1, 23.53, car
2022-10-12 07:29:20.19, 14, 0->1, 17.67, car
2022-10-12 07:29:24.46, 14, 0->1, 5.03, truck_s
2022-10-12 07:29:30.99, 14, 0->1, 14.1, car
2022-10-12 07:29:33.59, 14, 0->1, 18.56, car
2022-10-12 07:29:35.96, 14, 0->1, 25.95, car
2022-10-12 07:29:38.16, 14, 0->1, 27.55, car
2022-10-12 07:29:40.09, 14, 0->1, 29.05, car
2022-10-12 07:29:42.79, 14, 0->1, 28.25, car
2022-10-12 07:29:45.22, 14, 0->1, 29.96, truck_s
2022-10-12 07:29:47.49, 14, 0->1, 30.55, car
2022-10-12 07:29:50.89, 14, 0->1, 36.02, car
2022-10-12 07:29:53.02, 14, 0->1, 33.33, car
2022-10-12 07:29:56.52, 14, 0->1, 33.42, bus_m
2022-10-12 07:30:01.16, 14, 0->1, 29.66, bus_m
2022-10-12 07:30:16.99, 14, 0->1, 29.66, bus_m
2022-10-12 07:30:47.46, 14, 0->1, 16.61, car
2022-10-12 07:30:49.29, 14, 0->1, 25.15, car
2022-10-12 07:30:52.56, 14, 0->1, 29.89, truck_m
2022-10-12 07:30:55.56, 14, 0->1, 37.26, car
2022-10-12 07:30:58.16, 14, 0->1, 32.68, car
2022-10-12 07:31:00.32, 14, 0->1, 33.2, car
2022-10-12 07:31:01.96, 14, 0->1, 36.9, car
2022-10-12 07:31:04.59, 14, 0->1, 31.81, car
2022-10-12 07:31:06.99, 14, 0->1, 29.39, car
2022-10-12 07:31:09.28, 14, 0->1, 23.89, car
2022-10-12 07:31:12.82, 14, 0->1, 13.04, truck_s
2022-10-12 07:31:17.92, 14, 0->1, 14.75, car
2022-10-12 07:31:21.15, 14, 0->1, 18.56, car
2022-10-12 07:31:23.48, 14, 0->1, 20.95, truck_s
2022-10-12 07:31:25.85, 14, 0->1, 25.19, car
2022-10-12 07:31:28.32, 14, 0->1, 25.07, bus_m
2022-10-12 07:32:16.08, 14, 0->1, 19.37, car
2022-10-12 07:32:19.61, 14, 0->1, 24.25, car
2022-10-12 07:32:22.71, 14, 0->1, 28.78, car
2022-10-12 07:32:34.98, 14, 0->1, 41.67, car
2022-10-12 07:32:38.31, 14, 0->1, 41.73, car
2022-10-12 07:32:43.14, 14, 0->1, 41.51, car
2022-10-12 07:32:45.51, 14, 0->1, 31.33, car
2022-10-12 07:32:49.51, 14, 0->1, 42.39, truck_s
2022-10-12 07:32:55.51, 14, 0->1, 39.08, car
2022-10-12 07:33:04.88, 14, 0->1, 35.08, car
2022-10-12 07:33:38.81, 14, 0->1, 15.43, car
2022-10-12 07:33:43.11, 14, 0->1, 25.06, car
2022-10-12 07:33:45.81, 14, 0->1, 34.01, truck_s
2022-10-12 07:33:48.18, 14, 0->1, 32.46, car
2022-10-12 07:33:50.78, 14, 0->1, 33.15, car
2022-10-12 07:33:52.71, 14, 0->1, 34.22, car
2022-10-12 07:33:55.38, 14, 0->1, 29.16, car
2022-10-12 07:33:57.71, 14, 0->1, 29.68, car
2022-10-12 07:33:59.58, 14, 0->1, 28.79, car
2022-10-12 07:34:02.71, 14, 0->1, 32.24, car
2022-10-12 07:34:05.68, 14, 0->1, 29.44, car
2022-10-12 07:34:11.34, 14, 0->1, 19.1, car
2022-10-12 07:34:14.91, 14, 0->1, 18.87, car
2022-10-12 07:34:41.57, 14, 0->1, 13.47, truck_s
2022-10-12 07:34:44.47, 14, 0->1, 18.29, car
2022-10-12 07:34:47.64, 14, 0->1, 18.49, car
2022-10-12 07:35:06.44, 14, 0->1, 44.55, car
2022-10-12 07:35:12.50, 14, 0->1, 32.41, car
2022-10-12 07:35:18.94, 14, 0->1, 31.43, car
2022-10-12 07:35:21.04, 14, 0->1, 39.9, car
2022-10-12 07:35:24.37, 14, 0->1, 25.17, car
2022-10-12 07:35:26.50, 14, 0->1, 35.8, car
2022-10-12 07:35:28.27, 14, 0->1, 39.83, car
2022-10-12 07:35:31.20, 14, 0->1, 45.78, car
2022-10-12 07:35:34.97, 14, 0->1, 42.04, car
2022-10-12 07:35:39.67, 14, 0->1, 29.78, car
2022-10-12 07:35:42.83, 14, 0->1, 41.6, car
2022-10-12 07:35:46.33, 14, 0->1, 23.92, car
2022-10-12 07:35:48.90, 14, 0->1, 28.15, car
2022-10-12 07:35:52.13, 14, 0->1, 27.82, car
2022-10-12 07:35:54.37, 14, 0->1, 28.13, bus_m
2022-10-12 07:36:29.40, 14, 0->1, 9.3, car
2022-10-12 07:36:32.03, 14, 0->1, 18.34, car
2022-10-12 07:36:34.57, 14, 0->1, 28.17, car
2022-10-12 07:36:36.87, 14, 0->1, 36.55, car
2022-10-12 07:36:39.43, 14, 0->1, 30.62, bus_m
2022-10-12 07:36:43.67, 14, 0->1, 29.9, truck_s
2022-10-12 07:36:46.23, 14, 0->1, 28.19, car
2022-10-12 07:36:48.57, 14, 0->1, 22.26, car
2022-10-12 07:36:55.17, 14, 0->1, 31.84, car
2022-10-12 07:36:57.63, 14, 0->1, 39.89, car
2022-10-12 07:37:04.73, 14, 0->1, 54.07, car
2022-10-12 07:37:41.56, 14, 0->1, 14.53, car
2022-10-12 07:37:44.66, 14, 0->1, 16.59, car
2022-10-12 07:37:47.93, 14, 0->1, 11.98, car
2022-10-12 07:37:56.09, 14, 0->1, 15.87, car
2022-10-12 07:37:59.06, 14, 0->1, 13.9, car
2022-10-12 07:38:01.83, 14, 0->1, 20.69, car
2022-10-12 07:38:04.79, 14, 0->1, 26.18, car
2022-10-12 07:38:07.33, 14, 0->1, 31.64, car
2022-10-12 07:38:10.49, 14, 0->1, 29.42, car
2022-10-12 07:38:12.49, 14, 0->1, 33.86, car
2022-10-12 07:38:14.93, 14, 0->1, 29.67, car
2022-10-12 07:38:17.66, 14, 0->1, 31.07, car
2022-10-12 07:38:20.99, 14, 0->1, 37.51, car
2022-10-12 07:38:22.93, 14, 0->1, 40.92, car
2022-10-12 07:38:24.93, 14, 0->1, 28.67, bus_m
2022-10-12 07:38:27.29, 14, 0->1, 30.54, car
2022-10-12 07:38:29.86, 14, 0->1, 24.35, bus_m
2022-10-12 07:38:32.59, 14, 0->1, 33.51, car
2022-10-12 07:38:34.49, 14, 0->1, 33.68, car
2022-10-12 07:38:41.36, 14, 0->1, 45.46, car
2022-10-12 07:38:42.85, 14, 0->1, 40.23, car
2022-10-12 07:39:26.39, 14, 0->1, 16.79, car
2022-10-12 07:39:28.85, 14, 0->1, 26.01, car
2022-10-12 07:39:31.59, 14, 0->1, 33.67, car
2022-10-12 07:39:34.65, 14, 0->1, 27.18, car
2022-10-12 07:39:36.75, 14, 0->1, 30.21, car
2022-10-12 07:39:38.82, 14, 0->1, 32.06, car
2022-10-12 07:39:40.82, 14, 0->1, 25.74, car
2022-10-12 07:39:43.12, 14, 0->1, 22.03, car
2022-10-12 07:39:45.85, 14, 0->1, 20.41, car
2022-10-12 07:39:48.75, 14, 0->1, 22.64, car
2022-10-12 07:39:51.79, 14, 0->1, 20.61, truck_s
2022-10-12 07:39:54.45, 14, 0->1, 20.92, car
2022-10-12 07:40:27.22, 14, 0->1, 9.83, truck_s
2022-10-12 07:40:30.82, 14, 0->1, 18.04, car
2022-10-12 07:40:34.45, 14, 0->1, 14.56, car
2022-10-12 07:40:38.95, 14, 0->1, 14.75, car
2022-10-12 07:40:48.15, 14, 0->1, 1.76, car
2022-10-12 07:40:52.85, 14, 0->1, 18.08, car
2022-10-12 07:40:55.95, 14, 0->1, 25.79, car
2022-10-12 07:40:58.28, 14, 0->1, 28.92, bus_m
2022-10-12 07:41:00.91, 14, 0->1, 28.03, truck_s
2022-10-12 07:41:03.01, 14, 0->1, 33.3, car
2022-10-12 07:41:05.18, 14, 0->1, 28.61, car
2022-10-12 07:41:07.75, 14, 0->1, 31.58, car
2022-10-12 07:41:09.98, 14, 0->1, 35.96, car
2022-10-12 07:41:12.71, 14, 0->1, 28.05, bus_m
2022-10-12 07:41:18.11, 14, 0->1, 29.81, car
2022-10-12 07:41:19.75, 14, 0->1, 29.43, car
2022-10-12 07:41:22.95, 14, 0->1, 25.52, bus_m
2022-10-12 07:41:26.88, 14, 0->1, 28.71, car
2022-10-12 07:41:28.98, 14, 0->1, 29.03, car
2022-10-12 07:41:32.51, 14, 0->1, 35.2, car
2022-10-12 07:41:34.61, 14, 0->1, 45.52, car
2022-10-12 07:42:13.04, 14, 0->1, 16.43, car
2022-10-12 07:42:15.64, 14, 0->1, 24.68, car
2022-10-12 07:42:17.48, 14, 0->1, 31.52, car
2022-10-12 07:42:19.88, 14, 0->1, 36.65, car
2022-10-12 07:42:23.31, 14, 0->1, 31.34, car
2022-10-12 07:42:25.28, 14, 0->1, 31.71, car
2022-10-12 07:42:28.14, 14, 0->1, 24.21, car
2022-10-12 07:42:30.28, 14, 0->1, 23.26, car
2022-10-12 07:42:32.44, 14, 0->1, 12.68, car
2022-10-12 07:42:37.54, 14, 0->1, 11.8, car
2022-10-12 07:42:39.78, 14, 0->1, 18.58, car
2022-10-12 07:42:41.74, 14, 0->1, 22.92, car
2022-10-12 07:42:44.21, 14, 0->1, 22.5, truck_s
2022-10-12 07:43:32.54, 14, 0->1, 10.39, car
2022-10-12 07:43:35.44, 14, 0->1, 17.74, car
2022-10-12 07:43:37.98, 14, 0->1, 23.21, car
2022-10-12 07:43:40.94, 14, 0->1, 26.09, car
2022-10-12 07:43:43.51, 14, 0->1, 31.89, car
2022-10-12 07:43:45.48, 14, 0->1, 36.97, car
2022-10-12 07:43:47.54, 14, 0->1, 45.74, car
2022-10-12 07:43:50.68, 14, 0->1, 35.13, car
2022-10-12 07:43:52.81, 14, 0->1, 36.9, bus_m
2022-10-12 07:43:55.44, 14, 0->1, 40.93, car
2022-10-12 07:43:58.34, 14, 0->1, 34.58, car
2022-10-12 07:44:00.07, 14, 0->1, 39.15, car
2022-10-12 07:44:02.14, 14, 0->1, 47.88, car
2022-10-12 07:44:04.10, 14, 0->1, 42.18, car
2022-10-12 07:44:05.94, 14, 0->1, 40.9, car
2022-10-12 07:44:09.07, 14, 0->1, 35.85, car
2022-10-12 07:44:12.84, 14, 0->1, 31.27, bus_m
2022-10-12 07:44:15.90, 14, 0->1, 30.78, car
2022-10-12 07:44:18.37, 14, 0->1, 31.9, car
2022-10-12 07:44:59.74, 14, 0->1, 0.29, car
2022-10-12 07:45:02.30, 14, 0->1, 22.18, car
2022-10-12 07:45:04.47, 14, 0->1, 27.74, car
2022-10-12 07:45:06.73, 14, 0->1, 32.66, car
2022-10-12 07:45:09.20, 14, 0->1, 30.36, car
2022-10-12 07:45:11.00, 14, 0->1, 33.75, car
2022-10-12 07:45:12.93, 14, 0->1, 33.38, car
2022-10-12 07:45:15.50, 14, 0->1, 28.77, car
2022-10-12 07:45:17.76, 14, 0->1, 25.65, car
2022-10-12 07:45:21.40, 14, 0->1, 22.3, car
2022-10-12 07:45:24.00, 14, 0->1, 25.82, car
2022-10-12 07:45:26.30, 14, 0->1, 27.77, car
2022-10-12 07:45:29.00, 14, 0->1, 26.96, car
2022-10-12 07:45:30.83, 14, 0->1, 26.51, car
2022-10-12 07:45:33.50, 14, 0->1, 28.11, truck_s
2022-10-12 07:45:35.33, 14, 0->1, 28.03, car
2022-10-12 07:46:22.93, 14, 0->1, 12.6, car
2022-10-12 07:46:26.20, 14, 0->1, 23.96, car
2022-10-12 07:46:30.86, 14, 0->1, 12.89, car
2022-10-12 07:46:33.43, 14, 0->1, 23.22, car
2022-10-12 07:46:35.53, 14, 0->1, 27.73, car
2022-10-12 07:46:38.80, 14, 0->1, 28.42, car
2022-10-12 07:46:40.93, 14, 0->1, 29.37, car
2022-10-12 07:46:43.36, 14, 0->1, 32.75, car
2022-10-12 07:46:45.60, 14, 0->1, 39.2, car
2022-10-12 07:46:47.66, 14, 0->1, 42.34, car
2022-10-12 07:46:50.36, 14, 0->1, 39.83, car
2022-10-12 07:46:52.76, 14, 0->1, 39.99, car
2022-10-12 07:46:55.73, 14, 0->1, 35.73, car
2022-10-12 07:46:58.43, 14, 0->1, 30.74, truck_s
2022-10-12 07:47:00.46, 14, 0->1, 28.3, car
2022-10-12 07:47:02.10, 14, 0->1, 34.01, car
2022-10-12 07:47:03.43, 14, 0->1, 35.47, car
2022-10-12 07:47:05.83, 14, 0->1, 30.25, car
2022-10-12 07:47:07.62, 14, 0->1, 35.65, car
2022-10-12 07:47:09.42, 14, 0->1, 39.65, car
2022-10-12 07:47:12.56, 14, 0->1, 26.13, bus_m
2022-10-12 07:47:14.66, 14, 0->1, 29.81, car
2022-10-12 07:47:16.39, 14, 0->1, 32.52, car
2022-10-12 07:47:18.36, 14, 0->1, 35.88, car
2022-10-12 07:47:54.66, 14, 0->1, 11.47, car
2022-10-12 07:47:57.72, 14, 0->1, 22.14, car
2022-10-12 07:47:59.76, 14, 0->1, 27.4, car
2022-10-12 07:48:02.09, 14, 0->1, 34.0, car
2022-10-12 07:48:04.46, 14, 0->1, 24.25, car
2022-10-12 07:48:07.16, 14, 0->1, 19.96, car
2022-10-12 07:48:12.76, 14, 0->1, 6.61, car
2022-10-12 07:48:17.09, 14, 0->1, 12.58, car
2022-10-12 07:48:20.02, 14, 0->1, 18.57, truck_s
2022-10-12 07:48:23.12, 14, 0->1, 24.06, car
2022-10-12 07:48:25.19, 14, 0->1, 26.76, car
2022-10-12 07:49:07.99, 14, 0->1, 16.68, car
2022-10-12 07:49:11.12, 14, 0->1, 22.18, car
2022-10-12 07:49:15.05, 14, 0->1, 15.46, car
2022-10-12 07:49:20.05, 14, 0->1, 22.91, truck_s
2022-10-12 07:49:22.45, 14, 0->1, 25.57, car
2022-10-12 07:49:24.72, 14, 0->1, 28.43, car
2022-10-12 07:49:26.75, 14, 0->1, 33.23, car
2022-10-12 07:49:28.95, 14, 0->1, 33.23, car
2022-10-12 07:49:30.85, 14, 0->1, 36.06, car
2022-10-12 07:49:32.55, 14, 0->1, 38.77, car
2022-10-12 07:49:35.49, 14, 0->1, 40.91, car
2022-10-12 07:49:37.12, 14, 0->1, 35.75, car
2022-10-12 07:49:39.65, 14, 0->1, 34.36, truck_s
2022-10-12 07:49:42.35, 14, 0->1, 31.15, car
2022-10-12 07:49:44.45, 14, 0->1, 35.17, car
2022-10-12 07:49:46.59, 14, 0->1, 39.45, car
2022-10-12 07:49:48.95, 14, 0->1, 40.18, truck_s
2022-10-12 07:49:51.29, 14, 0->1, 36.43, car
2022-10-12 07:49:53.45, 14, 0->1, 35.4, car
2022-10-12 07:49:56.05, 14, 0->1, 38.59, car
2022-10-12 07:49:58.89, 14, 0->1, 35.9, car
2022-10-12 07:50:01.29, 14, 0->1, 35.83, car
2022-10-12 07:50:03.29, 14, 0->1, 33.75, car
2022-10-12 07:50:05.92, 14, 0->1, 23.37, bus_m
2022-10-12 07:50:09.85, 14, 0->1, 21.15, bus_m
2022-10-12 07:50:41.55, 14, 0->1, 15.13, car
2022-10-12 07:50:44.41, 14, 0->1, 25.32, car
2022-10-12 07:50:47.15, 14, 0->1, 27.37, car
2022-10-12 07:50:48.71, 14, 0->1, 30.05, car
2022-10-12 07:50:51.71, 14, 0->1, 33.61, car
2022-10-12 07:50:53.55, 14, 0->1, 41.99, car
2022-10-12 07:50:55.71, 14, 0->1, 30.55, car
2022-10-12 07:50:57.71, 14, 0->1, 29.88, car
2022-10-12 07:50:59.85, 14, 0->1, 28.98, car
2022-10-12 07:51:02.68, 14, 0->1, 30.87, truck_s
2022-10-12 07:51:05.48, 14, 0->1, 26.23, car
2022-10-12 07:51:07.45, 14, 0->1, 27.36, car
2022-10-12 07:51:09.75, 14, 0->1, 23.74, car
2022-10-12 07:51:46.87, 14, 0->1, 0.3, car
2022-10-12 07:51:53.37, 14, 0->1, 10.25, car
2022-10-12 07:51:57.94, 14, 0->1, 7.59, car
2022-10-12 07:52:03.14, 14, 0->1, 9.6, car
2022-10-12 07:52:10.01, 14, 0->1, 17.35, car
2022-10-12 07:52:12.77, 14, 0->1, 22.51, car
2022-10-12 07:52:15.41, 14, 0->1, 26.57, car
2022-10-12 07:52:17.94, 14, 0->1, 33.93, bus_m
2022-10-12 07:52:20.54, 14, 0->1, 30.13, car
