2022-10-12 07:31:06.83, 15, 0->1, 109.32, car
2022-10-12 07:31:16.76, 15, 0->1, 110.88, car
2022-10-12 07:31:20.56, 15, 0->1, 112.81, car
2022-10-12 07:31:23.42, 15, 0->1, 260.9, bus_m
2022-10-12 07:31:34.09, 15, 0->1, 56.35, car
2022-10-12 07:31:37.02, 15, 0->1, 78.77, car
2022-10-12 07:31:45.49, 15, 0->1, 15.9, car
2022-10-12 07:31:49.36, 15, 0->1, 66.17, car
2022-10-12 07:31:51.42, 15, 0->1, 82.25, car
2022-10-12 07:31:54.89, 15, 0->1, 105.97, car
2022-10-12 07:31:59.36, 15, 0->1, 67.25, car
2022-10-12 07:32:03.56, 15, 0->1, 45.98, car
2022-10-12 07:32:15.96, 15, 0->1, 35.77, car
2022-10-12 07:32:47.09, 15, 0->1, 0.81, car
2022-10-12 07:34:09.82, 15, 0->1, 0.28, car
2022-10-12 07:34:13.88, 15, 0->1, 64.75, car
2022-10-12 07:34:17.08, 15, 0->1, 83.16, car
2022-10-12 07:34:19.42, 15, 0->1, 107.25, car
2022-10-12 07:34:28.68, 15, 0->1, 107.09, car
2022-10-12 07:34:30.88, 15, 0->1, 108.48, car
2022-10-12 07:34:34.62, 15, 0->1, 110.79, car
2022-10-12 07:34:41.02, 15, 0->1, 66.23, car
2022-10-12 07:34:46.15, 15, 0->1, 27.63, car
2022-10-12 07:35:07.35, 15, 0->1, 83.82, car
2022-10-12 07:35:30.18, 15, 0->1, 2.66, car
2022-10-12 07:37:07.84, 15, 0->1, 79.02, car
2022-10-12 07:37:13.10, 15, 0->1, 78.13, bus_m
2022-10-12 07:37:19.70, 15, 0->1, 106.93, car
2022-10-12 07:37:22.97, 15, 0->1, 65.3, car
2022-10-12 07:37:31.50, 15, 0->1, 12.46, car
2022-10-12 07:37:40.17, 15, 0->1, 56.0, car
2022-10-12 07:37:42.57, 15, 0->1, 83.4, bus_m
2022-10-12 07:37:47.30, 15, 0->1, 77.28, car
2022-10-12 07:37:56.57, 15, 0->1, 109.97, car
2022-10-12 07:38:00.64, 15, 0->1, 65.91, bus_m
2022-10-12 07:38:19.04, 15, 0->1, 31.35, car
2022-10-12 07:38:23.97, 15, 0->1, 54.7, car
2022-10-12 07:38:29.10, 15, 0->1, 26.9, car
2022-10-12 07:38:34.70, 15, 0->1, 63.47, car
2022-10-12 07:38:41.04, 15, 0->1, 23.0, car
2022-10-12 07:38:49.63, 15, 0->1, 26.6, truck_s
2022-10-12 07:38:54.63, 15, 0->1, 26.06, truck_s
2022-10-12 07:38:59.90, 15, 0->1, 29.26, car
2022-10-12 07:39:05.63, 15, 0->1, 30.86, car
2022-10-12 07:40:10.63, 15, 0->1, 165.92, car
2022-10-12 07:40:18.10, 15, 0->1, 62.63, car
2022-10-12 07:40:24.10, 15, 0->1, 55.19, car
2022-10-12 07:40:34.50, 15, 0->1, 45.4, car
2022-10-12 07:40:37.16, 15, 0->1, 62.48, car
2022-10-12 07:40:39.76, 15, 0->1, 110.57, car
2022-10-12 07:40:42.03, 15, 0->1, 246.48, bus_m
2022-10-12 07:40:47.19, 15, 0->1, 110.97, car
2022-10-12 07:40:48.86, 15, 0->1, 109.66, car
2022-10-12 07:40:51.66, 15, 0->1, 82.78, car
2022-10-12 07:40:59.39, 15, 0->1, 80.23, car
2022-10-12 07:41:01.72, 15, 0->1, 78.75, car
2022-10-12 07:41:04.99, 15, 0->1, 107.98, car
2022-10-12 07:41:08.32, 15, 0->1, 54.97, car
2022-10-12 07:41:15.46, 15, 0->1, 17.61, truck_s
2022-10-12 07:41:55.19, 15, 0->1, 28.36, car
2022-10-12 07:42:12.45, 15, 0->1, 54.43, car
2022-10-12 07:42:24.72, 15, 0->1, 53.03, car
2022-10-12 07:43:06.58, 15, 0->1, 108.53, car
2022-10-12 07:43:08.58, 15, 0->1, 107.36, car
2022-10-12 07:43:14.25, 15, 0->1, 105.12, car
2022-10-12 07:43:17.92, 15, 0->1, 37.06, car
2022-10-12 07:43:23.05, 15, 0->1, 65.17, car
2022-10-12 07:43:26.72, 15, 0->1, 78.82, car
2022-10-12 07:43:32.85, 15, 0->1, 164.33, car
2022-10-12 07:43:49.98, 15, 0->1, 108.43, car
2022-10-12 07:43:52.18, 15, 0->1, 107.4, car
2022-10-12 07:44:06.24, 15, 0->1, 112.07, car
2022-10-12 07:44:13.24, 15, 0->1, 66.91, car
2022-10-12 07:44:39.51, 15, 0->1, 166.68, bus_m
2022-10-12 07:44:46.71, 15, 0->1, 52.54, car
2022-10-12 07:45:00.84, 15, 0->1, 27.4, car
2022-10-12 07:45:31.91, 15, 0->1, 79.6, bus_m
2022-10-12 07:45:38.24, 15, 0->1, 80.13, car
2022-10-12 07:45:59.38, 15, 0->1, 82.81, car
2022-10-12 07:46:20.07, 15, 0->1, 107.05, car
2022-10-12 07:46:26.40, 15, 0->1, 47.97, car
2022-10-12 07:46:38.74, 15, 0->1, 105.72, car
2022-10-12 07:47:06.07, 15, 0->1, 162.78, car
2022-10-12 07:47:23.47, 15, 0->1, 81.73, car
2022-10-12 07:47:28.27, 15, 0->1, 108.39, car
2022-10-12 07:47:42.60, 15, 0->1, 78.33, car
2022-10-12 07:48:05.00, 15, 0->1, 82.18, car
2022-10-12 07:49:25.27, 15, 0->1, 41.05, bus_m
2022-10-12 07:49:40.32, 15, 0->1, 65.99, car
2022-10-12 07:49:44.39, 15, 0->1, 77.71, car
2022-10-12 07:49:47.06, 15, 0->1, 104.18, car
2022-10-12 07:49:51.12, 15, 0->1, 102.78, car
2022-10-12 07:49:53.52, 15, 0->1, 105.42, car
2022-10-12 07:49:55.52, 15, 0->1, 164.23, car
2022-10-12 07:50:00.59, 15, 0->1, 77.35, bus_m
2022-10-12 07:50:04.86, 15, 0->1, 82.22, car
2022-10-12 07:50:07.66, 15, 0->1, 61.81, truck_s
2022-10-12 07:50:11.86, 15, 0->1, 65.14, car
2022-10-12 07:50:23.79, 15, 0->1, 83.34, car
2022-10-12 07:50:28.19, 15, 0->1, 35.48, car
2022-10-12 07:51:38.35, 15, 0->1, 107.35, car
2022-10-12 07:51:40.88, 15, 0->1, 82.12, car
2022-10-12 07:51:43.28, 15, 0->1, 112.38, car
2022-10-12 07:52:09.15, 15, 0->1, 82.55, car
2022-10-12 07:52:13.42, 15, 0->1, 105.76, bus_m
2022-10-12 07:52:20.82, 15, 0->1, 104.26, car
2022-10-12 07:52:25.35, 15, 0->1, 102.73, car
2022-10-12 07:52:40.62, 15, 0->1, 166.31, car
2022-10-12 07:52:49.35, 15, 0->1, 112.74, car
2022-10-12 07:52:51.62, 15, 0->1, 112.94, car
2022-10-12 07:53:08.53, 15, 0->1, 79.61, car
2022-10-12 07:53:15.10, 15, 0->1, 64.72, car
2022-10-12 07:55:10.47, 15, 0->1, 55.64, bus_m
2022-10-12 07:55:29.07, 15, 0->1, 31.38, car
2022-10-12 07:55:32.54, 15, 0->1, 81.53, car
2022-10-12 07:55:36.40, 15, 0->1, 104.17, car
2022-10-12 07:55:39.60, 15, 0->1, 112.71, car
2022-10-12 07:55:42.27, 15, 0->1, 107.22, car
2022-10-12 07:55:44.67, 15, 0->1, 77.22, car
2022-10-12 07:55:47.54, 15, 0->1, 106.78, car
2022-10-12 07:55:50.34, 15, 0->1, 111.64, car
2022-10-12 07:55:57.27, 15, 0->1, 77.84, car
2022-10-12 07:58:07.70, 15, 0->1, 104.18, car
2022-10-12 07:58:16.23, 15, 0->1, 83.25, car
2022-10-12 07:58:19.96, 15, 0->1, 39.94, car
2022-10-12 07:58:23.43, 15, 0->1, 51.9, car
2022-10-12 07:58:26.89, 15, 0->1, 34.89, car
2022-10-12 07:58:34.22, 15, 0->1, 107.26, car
2022-10-12 07:58:37.36, 15, 0->1, 155.58, car
2022-10-12 07:58:40.49, 15, 0->1, 63.61, car
2022-10-12 07:58:43.49, 15, 0->1, 38.65, car
2022-10-12 07:58:48.02, 15, 0->1, 23.96, car
2022-10-12 08:01:06.55, 15, 0->1, 110.22, bus_m
2022-10-12 08:01:11.42, 15, 0->1, 110.19, bus_m
2022-10-12 08:01:16.08, 15, 0->1, 106.9, car
2022-10-12 08:01:18.48, 15, 0->1, 79.5, truck_s
2022-10-12 08:01:24.22, 15, 0->1, 77.69, car
2022-10-12 08:01:38.08, 15, 0->1, 166.26, car
2022-10-12 08:01:43.02, 15, 0->1, 62.83, car
2022-10-12 08:01:48.62, 15, 0->1, 85.03, car
2022-10-12 08:01:52.88, 15, 0->1, 77.24, car
2022-10-12 08:04:10.30, 15, 0->1, 105.38, car
2022-10-12 08:04:13.64, 15, 0->1, 109.72, car
2022-10-12 08:04:17.24, 15, 0->1, 109.47, car
2022-10-12 08:04:21.84, 15, 0->1, 111.76, car
2022-10-12 08:04:24.64, 15, 0->1, 105.82, car
2022-10-12 08:04:27.24, 15, 0->1, 102.76, car
2022-10-12 08:04:29.50, 15, 0->1, 112.61, car
2022-10-12 08:04:33.24, 15, 0->1, 65.9, car
2022-10-12 08:04:44.17, 15, 0->1, 7.15, car
2022-10-12 08:04:49.30, 15, 0->1, 65.54, car
2022-10-12 08:04:51.64, 15, 0->1, 84.13, car
2022-10-12 08:04:58.90, 15, 0->1, 36.2, car
2022-10-12 08:05:01.97, 15, 0->1, 78.16, car
2022-10-12 08:05:04.97, 15, 0->1, 84.13, car
2022-10-12 08:05:08.37, 15, 0->1, 63.87, car
2022-10-12 08:05:24.17, 15, 0->1, 1.95, car
2022-10-12 08:05:38.37, 15, 0->1, 30.17, car
2022-10-12 08:05:41.84, 15, 0->1, 40.42, car
2022-10-12 08:05:46.37, 15, 0->1, 39.12, car
2022-10-12 08:06:00.90, 15, 0->1, 2.24, car
2022-10-12 08:06:05.23, 15, 0->1, 53.14, car
2022-10-12 08:07:02.16, 15, 0->1, 67.4, truck_s
2022-10-12 08:07:05.03, 15, 0->1, 64.72, car
2022-10-12 08:07:08.30, 15, 0->1, 78.15, truck_s
2022-10-12 08:07:12.96, 15, 0->1, 104.91, car
2022-10-12 08:07:15.63, 15, 0->1, 159.59, car
2022-10-12 08:07:18.50, 15, 0->1, 67.92, car
2022-10-12 08:07:20.63, 15, 0->1, 108.52, car
2022-10-12 08:07:23.10, 15, 0->1, 162.62, truck_s
2022-10-12 08:07:31.96, 15, 0->1, 104.81, car
2022-10-12 08:07:34.50, 15, 0->1, 105.67, car
2022-10-12 08:07:40.36, 15, 0->1, 107.46, car
2022-10-12 08:07:43.23, 15, 0->1, 102.82, car
2022-10-12 08:07:45.16, 15, 0->1, 103.29, car
2022-10-12 08:07:48.96, 15, 0->1, 104.26, car
2022-10-12 08:07:51.16, 15, 0->1, 105.69, car
2022-10-12 08:07:53.36, 15, 0->1, 106.39, car
2022-10-12 08:07:55.72, 15, 0->1, 83.13, car
2022-10-12 08:08:02.72, 15, 0->1, 78.29, car
2022-10-12 08:08:05.19, 15, 0->1, 110.11, car
2022-10-12 08:08:07.79, 15, 0->1, 84.77, car
2022-10-12 08:10:04.65, 15, 0->1, 167.22, car
2022-10-12 08:10:08.18, 15, 0->1, 106.83, car
2022-10-12 08:10:23.25, 15, 0->1, 45.52, car
2022-10-12 08:10:28.32, 15, 0->1, 51.93, bus_m
2022-10-12 08:10:34.12, 15, 0->1, 109.92, car
2022-10-12 08:10:39.58, 15, 0->1, 104.78, car
