2022-10-12 07:30:02.00, 16, 6->7, 17.71, car
2022-10-12 07:30:25.74, 16, 2->0, 5.62, car
2022-10-12 07:30:26.54, 16, 0->2, 3.52, bus_m
2022-10-12 07:30:27.14, 16, 2->0, 4.92, car
2022-10-12 07:30:27.34, 16, 2->0, 4.8, car
2022-10-12 07:30:28.74, 16, 0->2, 5.87, car
2022-10-12 07:30:33.40, 16, 2->0, 5.76, truck_s
2022-10-12 07:30:34.27, 16, 2->0, 5.94, car
2022-10-12 07:30:36.47, 16, 2->0, 5.65, car
2022-10-12 07:30:38.27, 16, 2->0, 6.61, car
2022-10-12 07:30:39.67, 16, 0->2, 7.24, car
2022-10-12 07:30:46.07, 16, 2->0, 6.3, truck_s
2022-10-12 07:30:52.07, 16, 2->0, 6.36, car
2022-10-12 07:30:53.94, 16, 5->4, 13.65, car
2022-10-12 07:30:54.07, 16, 0->2, 6.99, car
2022-10-12 07:30:54.27, 16, 2->0, 5.06, car
2022-10-12 07:30:55.60, 16, 2->0, 6.11, car
2022-10-12 07:31:01.14, 16, 0->2, 6.93, car
2022-10-12 07:31:02.40, 16, 5->4, 16.22, car
2022-10-12 07:31:03.00, 16, 6->7, 14.01, car
2022-10-12 07:31:03.94, 16, 0->2, 6.86, car
2022-10-12 07:31:04.20, 16, 0->2, 6.89, car
2022-10-12 07:31:05.94, 16, 5->4, 18.11, car
2022-10-12 07:31:11.47, 16, 5->4, 17.12, car
2022-10-12 07:31:18.87, 16, 5->4, 20.96, car
2022-10-12 07:32:56.40, 16, 6->7, 14.96, car
2022-10-12 07:32:58.93, 16, 6->7, 13.52, car
2022-10-12 07:33:01.20, 16, 6->7, 15.37, car
2022-10-12 07:33:03.06, 16, 6->7, 22.56, car
2022-10-12 07:33:09.13, 16, 6->7, 16.91, car
2022-10-12 07:33:17.20, 16, 2->0, 5.97, bus_m
2022-10-12 07:33:23.06, 16, 5->4, 22.6, car
2022-10-12 07:33:28.86, 16, 2->3, 7.45, bus_m
2022-10-12 07:33:30.06, 16, 3->0, 18.79, bus_m
2022-10-12 07:33:39.06, 16, 0->2, 8.48, bus_m
2022-10-12 07:33:39.06, 16, 0->2, 6.07, car
2022-10-12 07:33:41.46, 16, 2->0, 8.68, car
2022-10-12 07:33:45.13, 16, 2->0, 6.45, truck_m
2022-10-12 07:33:49.40, 16, 6->7, 18.48, car
2022-10-12 07:33:53.73, 16, 6->7, 13.98, car
2022-10-12 07:33:57.00, 16, 6->7, 19.95, car
2022-10-12 07:33:59.02, 16, 6->7, 22.46, car
2022-10-12 07:34:13.69, 16, 5->4, 13.86, car
2022-10-12 07:34:27.89, 16, 6->7, 19.93, car
2022-10-12 07:35:26.09, 16, 6->7, 21.44, car
2022-10-12 07:35:28.49, 16, 6->7, 22.85, car
2022-10-12 07:35:31.35, 16, 6->7, 20.2, car
2022-10-12 07:35:57.75, 16, 6->7, 16.8, car
2022-10-12 07:36:00.89, 16, 6->7, 15.97, car
2022-10-12 07:36:12.82, 16, 2->0, 7.89, bus_m
2022-10-12 07:36:18.42, 16, 0->2, 5.57, bus_m
2022-10-12 07:36:21.15, 16, 0->2, 6.04, bus_m
2022-10-12 07:36:24.82, 16, 5->4, 21.89, car
2022-10-12 07:36:28.02, 16, 5->4, 20.46, car
2022-10-12 07:36:29.02, 16, 2->0, 5.81, car
2022-10-12 07:36:30.02, 16, 2->0, 6.26, car
2022-10-12 07:36:30.75, 16, 5->4, 18.68, car
2022-10-12 07:36:31.55, 16, 2->0, 6.0, car
2022-10-12 07:36:33.09, 16, 2->0, 6.33, car
2022-10-12 07:36:34.75, 16, 2->0, 6.77, car
2022-10-12 07:36:58.09, 16, 6->7, 12.39, car
2022-10-12 07:37:00.22, 16, 5->4, 12.35, car
2022-10-12 07:37:13.34, 16, 6->7, 13.95, car
2022-10-12 07:37:16.01, 16, 6->7, 12.36, car
2022-10-12 07:37:18.61, 16, 6->7, 14.07, car
2022-10-12 07:38:14.68, 16, 6->7, 19.39, car
2022-10-12 07:38:17.28, 16, 6->7, 20.44, car
2022-10-12 07:38:19.48, 16, 6->7, 23.21, car
2022-10-12 07:38:22.01, 16, 6->7, 18.63, car
2022-10-12 07:39:03.81, 16, 0->7, 12.78, car
2022-10-12 07:39:12.97, 16, 0->2, 4.75, bus_m
2022-10-12 07:39:18.50, 16, 0->2, 5.22, bus_m
2022-10-12 07:39:19.90, 16, 2->0, 6.39, car
2022-10-12 07:39:22.04, 16, 2->0, 4.79, car
2022-10-12 07:39:56.17, 16, 5->4, 16.93, car
2022-10-12 07:40:15.70, 16, 6->7, 17.99, car
2022-10-12 07:41:43.10, 16, 6->7, 12.33, car
2022-10-12 07:41:52.43, 16, 0->2, 4.99, bus_m
2022-10-12 07:41:56.43, 16, 2->0, 7.23, bus_m
2022-10-12 07:42:02.70, 16, 2->0, 7.49, truck_s
2022-10-12 07:42:03.83, 16, 2->0, 4.14, bus_m
2022-10-12 07:42:20.56, 16, 6->7, 7.13, car
2022-10-12 07:42:33.96, 16, 6->7, 12.06, car
