2022-10-06 07:29:32.71, 17, 1->3, 5.14, car
2022-10-06 07:29:34.24, 17, 1->3, 4.76, car
2022-10-06 07:29:34.51, 17, 3->1, 7.41, car
2022-10-06 07:29:36.11, 17, 1->3, 6.08, car
2022-10-06 07:29:40.18, 17, 1->3, 4.95, car
2022-10-06 07:29:41.11, 17, 3->1, 6.56, car
2022-10-06 07:29:41.84, 17, 1->3, 5.36, car
2022-10-06 07:29:42.84, 17, 1->3, 5.85, car
2022-10-06 07:29:43.98, 17, 1->3, 6.4, car
2022-10-06 07:29:44.91, 17, 3->1, 7.24, car
2022-10-06 07:29:47.18, 17, 3->1, 6.97, car
2022-10-06 07:29:51.31, 17, 1->3, 5.8, car
2022-10-06 07:29:53.98, 17, 1->3, 4.83, car
2022-10-06 07:29:54.78, 17, 1->3, 7.21, car
2022-10-06 07:30:07.78, 17, 0->2, 3.28, bus_m
2022-10-06 07:30:12.11, 17, 0->2, 3.72, bus_m
2022-10-06 07:30:15.44, 17, 0->2, 3.93, bus_m
2022-10-06 07:30:18.58, 17, 3->0, 30.44, car
2022-10-06 07:30:19.38, 17, 3->0, 28.3, car
2022-10-06 07:30:20.31, 17, 3->0, 29.09, car
2022-10-06 07:30:20.64, 17, 3->0, 30.92, car
2022-10-06 07:30:24.31, 17, 3->0, 26.39, car
2022-10-06 07:30:25.18, 17, 3->0, 19.15, car
2022-10-06 07:30:27.91, 17, 3->0, 18.26, car
2022-10-06 07:30:29.31, 17, 3->0, 32.29, car
2022-10-06 07:30:30.78, 17, 3->0, 14.72, car
2022-10-06 07:30:36.31, 17, 0->2, 7.9, car
2022-10-06 07:30:36.91, 17, 3->0, 12.44, car
2022-10-06 07:30:40.84, 17, 3->0, 28.14, car
2022-10-06 07:30:42.98, 17, 3->0, 16.44, car
2022-10-06 07:30:44.18, 17, 3->0, 22.86, car
2022-10-06 07:30:44.64, 17, 3->0, 18.13, car
2022-10-06 07:30:46.04, 17, 3->0, 27.55, car
2022-10-06 07:30:50.24, 17, 3->0, 19.95, car
2022-10-06 07:30:51.98, 17, 3->0, 12.36, car
2022-10-06 07:31:03.04, 17, 3->0, 16.83, truck_s
2022-10-06 07:31:03.38, 17, 2->3, 14.78, bus_m
2022-10-06 07:31:03.71, 17, 0->2, 7.11, car
2022-10-06 07:31:07.91, 17, 3->0, 25.22, car
2022-10-06 07:31:12.38, 17, 3->0, 80.3, truck_s
