2022-10-06 07:28:36.46, 17, 1->0, 21.11, bus_m
2022-10-06 07:29:33.06, 17, 1->0, 23.18, car
2022-10-06 07:29:35.86, 17, 1->0, 21.97, car
2022-10-06 07:29:38.39, 17, 1->0, 17.77, car
2022-10-06 07:29:49.79, 17, 1->0, 19.39, car
2022-10-06 07:30:42.48, 17, 1->0, 0.56, car
2022-10-06 07:31:47.28, 17, 1->0, 21.12, car
2022-10-06 07:31:50.21, 17, 1->0, 28.06, car
2022-10-06 07:31:53.88, 17, 1->0, 26.82, car
2022-10-06 07:32:32.68, 17, 1->0, 1.2, car
2022-10-06 07:34:11.94, 17, 1->0, 18.24, car
2022-10-06 07:34:17.07, 17, 1->0, 16.43, car
2022-10-06 07:36:06.23, 17, 1->0, 18.15, car
2022-10-06 07:36:10.16, 17, 1->0, 17.98, car
2022-10-06 07:36:13.90, 17, 1->0, 23.54, car
2022-10-06 07:36:20.43, 17, 1->0, 19.93, car
2022-10-06 07:36:22.76, 17, 1->0, 16.85, car
2022-10-06 07:36:31.96, 17, 1->0, 15.46, car
2022-10-06 07:38:15.63, 17, 1->0, 26.33, car
2022-10-06 07:38:19.89, 17, 1->0, 25.99, car
2022-10-06 07:38:22.69, 17, 1->0, 26.19, car
2022-10-06 07:38:24.43, 17, 1->0, 31.43, car
2022-10-06 07:40:39.22, 17, 1->0, 21.26, car
2022-10-06 07:40:53.04, 17, 1->0, 2.24, car
2022-10-06 07:40:57.91, 17, 1->0, 9.93, car
2022-10-06 07:41:03.91, 17, 1->0, 14.3, car
2022-10-06 07:41:06.78, 17, 1->0, 16.72, car
2022-10-06 07:42:38.97, 17, 1->0, 10.46, car
2022-10-06 07:42:44.24, 17, 1->0, 8.12, car
2022-10-06 07:42:47.64, 17, 1->0, 15.81, car
2022-10-06 07:44:51.83, 17, 1->0, 27.94, car
2022-10-06 07:44:53.76, 17, 1->0, 25.49, car
2022-10-06 07:47:02.12, 17, 1->0, 2.2, car
2022-10-06 07:47:19.12, 17, 1->0, 8.58, car
2022-10-06 07:47:22.92, 17, 1->0, 17.74, car
2022-10-06 07:47:28.79, 17, 1->0, 11.5, car
2022-10-06 07:47:33.65, 17, 1->0, 11.14, car
2022-10-06 07:47:38.32, 17, 1->0, 8.53, car
2022-10-06 07:47:43.12, 17, 1->0, 15.3, bus_s
2022-10-06 07:48:10.72, 17, 1->0, 36.54, car
2022-10-06 07:49:03.72, 17, 1->0, 12.07, car
2022-10-06 07:49:10.52, 17, 1->0, 12.26, car
2022-10-06 07:49:14.65, 17, 1->0, 17.3, car
2022-10-06 07:49:17.78, 17, 1->0, 22.28, car
2022-10-06 07:49:20.78, 17, 1->0, 25.1, car
2022-10-06 07:49:23.18, 17, 1->0, 28.04, car
2022-10-06 07:49:32.84, 17, 1->0, 33.04, car
2022-10-06 07:51:18.98, 17, 1->0, 24.2, car
2022-10-06 07:51:21.64, 17, 1->0, 23.52, car
2022-10-06 07:51:24.24, 17, 1->0, 22.25, car
2022-10-06 07:51:27.31, 17, 1->0, 24.23, car
2022-10-06 07:51:30.80, 17, 1->0, 16.54, car
2022-10-06 07:53:20.67, 17, 1->0, 23.9, car
2022-10-06 07:53:24.47, 17, 1->0, 31.35, car
2022-10-06 07:54:19.13, 17, 1->0, 14.25, car
2022-10-06 07:54:23.13, 17, 1->0, 20.75, car
2022-10-06 07:55:27.06, 17, 1->0, 37.25, car
2022-10-06 07:55:36.72, 17, 1->0, 21.86, car
2022-10-06 07:55:49.19, 17, 1->0, 11.81, car
2022-10-06 07:57:43.62, 17, 1->0, 20.63, car
2022-10-06 07:57:47.68, 17, 1->0, 28.21, car
2022-10-06 07:57:51.28, 17, 1->0, 18.52, car
2022-10-06 07:57:54.08, 17, 1->0, 17.07, car
2022-10-06 07:58:02.42, 17, 1->0, 15.53, car
2022-10-06 07:58:04.82, 17, 1->0, 16.62, car
2022-10-06 07:58:07.62, 17, 1->0, 15.45, car
2022-10-06 07:58:28.61, 17, 0->1, 83.56, truck_s
2022-10-06 07:59:47.68, 17, 1->0, 25.82, car
2022-10-06 07:59:57.75, 17, 1->0, 23.72, car
2022-10-06 08:00:00.08, 17, 1->0, 27.2, car
2022-10-06 08:00:48.47, 17, 1->0, 5.49, car
2022-10-06 08:02:08.34, 17, 1->0, 21.8, car
2022-10-06 08:02:11.74, 17, 1->0, 12.69, car
2022-10-06 08:04:13.99, 17, 1->0, 21.9, car
2022-10-06 08:04:16.79, 17, 1->0, 28.23, car
2022-10-06 08:04:38.73, 17, 1->0, 24.19, car
