2022-10-06 07:29:59.41, 19, 2->3, 12.49, car
2022-10-06 07:30:04.21, 19, 2->3, 14.4, car
2022-10-06 07:30:12.61, 19, 2->3, 16.08, bus_m
2022-10-06 07:30:16.01, 19, 2->3, 18.41, car
2022-10-06 07:30:18.47, 19, 2->3, 30.6, car
2022-10-06 07:30:21.34, 19, 2->3, 29.48, car
2022-10-06 07:30:24.54, 19, 2->3, 26.53, car
2022-10-06 07:30:30.34, 19, 2->3, 12.98, car
2022-10-06 07:30:36.54, 19, 2->3, 11.46, car
2022-10-06 07:30:49.87, 19, 2->3, 17.61, car
2022-10-06 07:30:54.61, 19, 2->3, 29.13, car
2022-10-06 07:30:57.41, 19, 2->3, 30.92, car
2022-10-06 07:31:00.14, 19, 2->3, 28.48, car
2022-10-06 07:31:02.47, 19, 2->3, 29.61, truck_s
2022-10-06 07:31:06.01, 19, 0->1, 4.53, car
2022-10-06 07:31:06.74, 19, 0->1, 4.81, car
2022-10-06 07:31:09.01, 19, 0->1, 6.86, car
2022-10-06 07:31:11.01, 19, 2->3, 29.56, bus_m
2022-10-06 07:31:14.41, 19, 2->3, 22.18, car
2022-10-06 07:31:15.81, 19, 0->1, 6.02, car
2022-10-06 07:31:17.81, 19, 2->3, 22.52, car
2022-10-06 07:31:20.61, 19, 0->1, 4.78, car
2022-10-06 07:31:22.47, 19, 0->1, 5.81, car
2022-10-06 07:31:23.01, 19, 0->1, 5.36, car
2022-10-06 07:31:24.21, 19, 0->1, 5.79, car
2022-10-06 07:31:24.41, 19, 0->1, 5.96, car
2022-10-06 07:31:25.87, 19, 0->1, 6.34, car
2022-10-06 07:31:27.21, 19, 0->1, 5.76, car
2022-10-06 07:31:29.81, 19, 2->3, 15.46, bus_m
2022-10-06 07:31:33.14, 19, 0->1, 6.57, car
2022-10-06 07:31:33.27, 19, 2->3, 19.26, car
2022-10-06 07:31:34.27, 19, 0->1, 8.13, car
2022-10-06 07:31:35.60, 19, 0->1, 7.78, car
2022-10-06 07:31:37.33, 19, 2->3, 24.22, bus_m
2022-10-06 07:31:37.93, 19, 0->1, 6.74, car
2022-10-06 07:31:39.00, 19, 0->1, 6.34, car
2022-10-06 07:31:39.73, 19, 0->1, 6.54, car
2022-10-06 07:31:39.80, 19, 2->3, 28.06, car
2022-10-06 07:31:42.40, 19, 2->3, 30.23, car
2022-10-06 07:31:42.40, 19, 0->1, 4.1, car
2022-10-06 07:31:44.80, 19, 2->3, 29.95, car
2022-10-06 07:31:45.07, 19, 0->1, 5.7, car
2022-10-06 07:31:45.47, 19, 0->1, 8.27, car
2022-10-06 07:31:47.33, 19, 0->1, 7.29, car
2022-10-06 07:31:48.47, 19, 0->1, 5.46, car
2022-10-06 07:31:48.53, 19, 0->1, 8.41, car
2022-10-06 07:31:49.80, 19, 0->1, 5.15, car
2022-10-06 07:31:50.20, 19, 0->1, 7.1, car
2022-10-06 07:32:06.00, 19, 2->3, 19.24, car
2022-10-06 07:32:09.60, 19, 2->3, 24.54, truck_s
2022-10-06 07:32:12.60, 19, 2->3, 23.9, car
2022-10-06 07:32:15.80, 19, 2->3, 24.02, car
2022-10-06 07:32:18.27, 19, 2->3, 17.52, car
2022-10-06 07:32:23.53, 19, 2->3, 6.69, truck_s
2022-10-06 07:32:30.67, 19, 2->3, 21.33, car
2022-10-06 07:32:33.67, 19, 2->3, 28.7, car
2022-10-06 07:32:36.07, 19, 2->3, 27.4, car
2022-10-06 07:32:38.40, 19, 2->3, 23.87, car
2022-10-06 07:32:41.73, 19, 2->3, 15.4, car
2022-10-06 07:33:32.73, 19, 2->3, 0.5, bus_m
2022-10-06 07:33:36.69, 19, 2->3, 19.2, car
2022-10-06 07:33:40.29, 19, 2->3, 20.29, car
2022-10-06 07:33:50.76, 19, 2->3, 20.47, car
2022-10-06 07:33:54.56, 19, 2->3, 17.58, car
2022-10-06 07:33:57.69, 19, 2->3, 19.25, truck_s
2022-10-06 07:34:00.56, 19, 2->3, 21.7, car
2022-10-06 07:34:03.42, 19, 2->3, 25.92, car
2022-10-06 07:34:06.29, 19, 2->3, 30.81, car
2022-10-06 07:34:09.02, 19, 2->3, 45.49, car
2022-10-06 07:34:11.96, 19, 2->3, 46.17, car
2022-10-06 07:34:14.62, 19, 2->3, 39.86, car
2022-10-06 07:34:20.36, 19, 2->3, 40.32, car
2022-10-06 07:34:48.96, 19, 0->1, 4.45, car
2022-10-06 07:34:49.56, 19, 0->1, 5.36, car
2022-10-06 07:34:52.29, 19, 0->1, 5.85, car
2022-10-06 07:34:55.42, 19, 0->1, 5.57, car
2022-10-06 07:34:57.29, 19, 2->3, 21.7, car
2022-10-06 07:35:01.09, 19, 2->3, 17.86, car
2022-10-06 07:35:06.69, 19, 2->3, 11.95, car
2022-10-06 07:35:08.75, 19, 0->1, 4.97, car
2022-10-06 07:35:10.42, 19, 2->3, 14.21, car
2022-10-06 07:35:10.62, 19, 0->1, 4.67, car
2022-10-06 07:35:13.22, 19, 2->3, 22.86, car
2022-10-06 07:35:15.69, 19, 0->1, 6.28, car
2022-10-06 07:35:16.75, 19, 2->3, 26.79, car
2022-10-06 07:35:20.15, 19, 2->3, 33.5, car
2022-10-06 07:35:23.15, 19, 2->3, 27.07, car
