2022-10-06 07:31:46.67, 2, 0->1, 63.26, car
2022-10-06 07:31:50.60, 2, 0->1, 64.4, car
2022-10-06 07:31:53.74, 2, 0->1, 56.42, car
2022-10-06 07:32:07.20, 2, 0->1, 107.7, car
2022-10-06 07:32:12.34, 2, 0->1, 64.11, truck_s
2022-10-06 07:32:19.80, 2, 0->1, 67.77, bus_m
2022-10-06 07:32:25.20, 2, 0->1, 33.8, truck_s
2022-10-06 07:32:37.93, 2, 0->1, 45.87, truck_s
2022-10-06 07:35:56.75, 2, 0->1, 78.96, car
2022-10-06 07:35:59.42, 2, 0->1, 65.94, car
2022-10-06 07:36:13.28, 2, 0->1, 67.19, car
2022-10-06 07:37:12.35, 2, 0->1, 53.22, truck_s
2022-10-06 07:39:56.80, 2, 0->1, 55.36, bus_m
2022-10-06 07:40:00.87, 2, 0->1, 65.61, bus_m
2022-10-06 07:40:18.23, 2, 0->1, 67.36, car
2022-10-06 07:43:47.68, 2, 0->1, 62.4, bus_m
2022-10-06 07:43:51.95, 2, 0->1, 65.74, car
2022-10-06 07:43:55.68, 2, 0->1, 83.91, car
2022-10-06 07:44:01.88, 2, 0->1, 84.47, car
2022-10-06 07:44:05.01, 2, 0->1, 51.92, car
2022-10-06 07:44:07.41, 2, 0->1, 64.09, car
2022-10-06 07:44:12.15, 2, 0->1, 47.8, bus_m
2022-10-06 07:44:15.61, 2, 0->1, 52.73, bus_m
2022-10-06 07:44:20.75, 2, 0->1, 52.7, car
2022-10-06 07:45:18.55, 2, 0->1, 38.76, bus_m
2022-10-06 07:47:46.70, 2, 0->1, 81.55, car
2022-10-06 07:47:49.90, 2, 0->1, 84.84, car
2022-10-06 07:47:56.63, 2, 0->1, 78.09, car
2022-10-06 07:48:00.10, 2, 0->1, 62.67, car
2022-10-06 07:48:04.63, 2, 0->1, 77.7, car
2022-10-06 07:51:53.72, 2, 0->1, 53.45, car
2022-10-06 07:52:01.85, 2, 0->1, 53.17, car
2022-10-06 07:52:12.38, 2, 0->1, 77.7, bus_m
2022-10-06 07:52:18.58, 2, 0->1, 42.51, bus_m
2022-10-06 07:52:23.58, 2, 0->1, 34.85, car
2022-10-06 07:52:53.74, 2, 0->1, 46.99, bus_m
2022-10-06 07:53:04.34, 2, 0->1, 45.58, car
2022-10-06 07:55:52.87, 2, 0->1, 63.85, car
2022-10-06 07:55:55.07, 2, 0->1, 47.91, car
2022-10-06 07:55:57.47, 2, 0->1, 54.35, bus_m
2022-10-06 07:56:07.13, 2, 0->1, 67.34, car
2022-10-06 07:56:09.67, 2, 0->1, 64.6, car
2022-10-06 07:56:17.07, 2, 0->1, 77.79, car
2022-10-06 07:56:28.20, 2, 0->1, 39.98, car
2022-10-06 07:56:31.13, 2, 0->1, 36.45, car
2022-10-06 07:57:54.82, 2, 0->1, 54.7, car
2022-10-06 07:59:49.82, 2, 0->1, 65.32, car
2022-10-06 08:00:04.21, 2, 0->1, 63.16, car
2022-10-06 08:00:12.88, 2, 0->1, 110.95, car
2022-10-06 08:00:16.88, 2, 0->1, 83.53, car
2022-10-06 08:00:19.74, 2, 0->1, 63.23, car
2022-10-06 08:00:22.21, 2, 0->1, 65.17, car
2022-10-06 08:00:27.74, 2, 0->1, 31.94, car
2022-10-06 08:04:01.23, 2, 0->1, 64.96, car
2022-10-06 08:04:08.76, 2, 0->1, 78.32, car
2022-10-06 08:04:10.09, 2, 0->1, 84.19, car
2022-10-06 08:04:14.63, 2, 0->1, 54.79, bus_m
2022-10-06 08:04:22.89, 2, 0->1, 108.45, car
2022-10-06 08:05:19.96, 2, 0->1, 47.1, bus_m
2022-10-06 08:08:07.84, 2, 0->1, 77.44, car
2022-10-06 08:08:10.91, 2, 0->1, 52.4, truck_s
2022-10-06 08:08:13.31, 2, 0->1, 54.07, car
2022-10-06 08:11:51.96, 2, 0->1, 65.34, car
2022-10-06 08:11:59.56, 2, 0->1, 62.27, car
2022-10-06 08:12:05.10, 2, 0->1, 61.58, car
2022-10-06 08:12:08.63, 2, 0->1, 46.87, car
2022-10-06 08:12:15.23, 2, 0->1, 45.18, car
2022-10-06 08:12:19.10, 2, 0->1, 84.04, car
