2022-10-12 07:28:26.26, 22, 2->1, 7.14, car
2022-10-12 07:28:27.26, 22, 2->0, 7.68, car
2022-10-12 07:28:27.46, 22, 2->0, 4.73, car
2022-10-12 07:28:27.59, 22, 2->1, 8.09, car
2022-10-12 07:28:27.72, 22, 2->1, 5.18, bus_s
2022-10-12 07:28:28.39, 22, 5->4, 15.81, car
2022-10-12 07:28:29.06, 22, 2->1, 7.21, car
2022-10-12 07:28:29.12, 22, 2->0, 7.51, car
2022-10-12 07:28:29.12, 22, 2->0, 5.0, car
2022-10-12 07:28:30.39, 22, 5->4, 19.45, car
2022-10-12 07:28:31.99, 22, 2->0, 6.89, car
2022-10-12 07:28:32.39, 22, 2->1, 4.24, car
2022-10-12 07:28:33.32, 22, 2->1, 5.74, car
2022-10-12 07:28:34.32, 22, 5->4, 18.46, car
2022-10-12 07:28:35.26, 22, 2->1, 4.35, car
2022-10-12 07:28:36.66, 22, 2->0, 5.22, bus_m
2022-10-12 07:28:36.86, 22, 2->1, 4.05, car
2022-10-12 07:28:37.06, 22, 5->4, 17.69, car
2022-10-12 07:28:37.06, 22, 2->1, 5.95, bus_s
2022-10-12 07:28:38.26, 22, 2->1, 4.16, car
2022-10-12 07:28:39.26, 22, 5->4, 21.15, car
2022-10-12 07:28:39.39, 22, 2->0, 5.52, car
2022-10-12 07:28:40.72, 22, 2->0, 5.77, car
2022-10-12 07:28:40.92, 22, 2->1, 6.29, car
2022-10-12 07:28:41.79, 22, 5->4, 18.32, car
2022-10-12 07:28:42.26, 22, 2->1, 7.81, car
2022-10-12 07:28:42.72, 22, 2->1, 5.9, car
2022-10-12 07:28:42.86, 22, 2->1, 3.4, car
2022-10-12 07:28:44.06, 22, 2->1, 4.54, car
2022-10-12 07:28:44.72, 22, 5->4, 16.34, car
2022-10-12 07:28:45.19, 22, 2->0, 5.54, bus_m
2022-10-12 07:28:46.32, 22, 2->1, 3.75, car
2022-10-12 07:28:51.19, 22, 1->3, 7.29, car
2022-10-12 07:28:52.06, 22, 3->1, 7.21, car
2022-10-12 07:28:52.26, 22, 3->1, 6.39, car
2022-10-12 07:28:53.32, 22, 3->1, 8.2, car
2022-10-12 07:28:54.06, 22, 1->3, 6.66, car
2022-10-12 07:28:55.59, 22, 3->1, 8.14, car
2022-10-12 07:28:55.92, 22, 3->1, 8.85, car
2022-10-12 07:28:55.92, 22, 3->1, 5.82, car
2022-10-12 07:28:56.06, 22, 3->1, 6.83, car
2022-10-12 07:28:56.46, 22, 1->3, 6.83, car
2022-10-12 07:28:57.52, 22, 3->1, 8.04, car
2022-10-12 07:28:57.59, 22, 3->1, 5.36, car
2022-10-12 07:28:58.39, 22, 5->4, 8.11, car
2022-10-12 07:28:58.79, 22, 2->3, 13.43, car
2022-10-12 07:28:58.92, 22, 3->1, 8.37, car
2022-10-12 07:28:59.19, 22, 3->1, 6.17, car
2022-10-12 07:28:59.86, 22, 3->1, 7.34, car
2022-10-12 07:29:00.39, 22, 2->3, 14.44, car
2022-10-12 07:29:00.72, 22, 3->1, 7.38, car
2022-10-12 07:29:00.79, 22, 3->1, 8.69, car
2022-10-12 07:29:01.52, 22, 3->1, 8.69, car
2022-10-12 07:29:01.86, 22, 3->1, 6.34, car
2022-10-12 07:29:01.99, 22, 1->3, 7.79, car
2022-10-12 07:29:02.46, 22, 3->1, 8.24, car
2022-10-12 07:29:02.46, 22, 3->1, 7.26, car
2022-10-12 07:29:02.92, 22, 3->1, 6.48, car
2022-10-12 07:29:03.79, 22, 3->1, 8.13, car
2022-10-12 07:29:03.92, 22, 3->1, 8.71, car
2022-10-12 07:29:06.32, 22, 3->1, 9.24, car
2022-10-12 07:29:06.59, 22, 3->1, 5.13, bus_m
2022-10-12 07:29:06.99, 22, 3->1, 8.94, car
2022-10-12 07:29:07.46, 22, 1->2, 56.25, car
2022-10-12 07:29:07.66, 22, 3->1, 6.55, car
2022-10-12 07:29:08.06, 22, 3->1, 7.32, car
2022-10-12 07:29:08.59, 22, 1->3, 8.29, car
2022-10-12 07:29:08.79, 22, 1->3, 9.29, car
