2022-10-05 07:29:45.98, 9, 0->1, 11.65, car
2022-10-05 07:29:47.51, 9, 1->3, 4.21, car
2022-10-05 07:29:51.11, 9, 3->1, 3.01, car
2022-10-05 07:29:52.05, 9, 3->1, 2.81, car
2022-10-05 07:29:53.08, 9, 3->0, 3.99, bus_m
2022-10-05 07:29:53.58, 9, 3->1, 2.81, car
2022-10-05 07:29:54.75, 9, 3->1, 3.26, car
2022-10-05 07:29:56.08, 9, 3->2, 1.26, car
2022-10-05 07:29:57.55, 9, 3->2, 1.79, car
2022-10-05 07:29:58.61, 9, 1->2, 4.89, car
2022-10-05 07:29:59.35, 9, 3->1, 2.48, car
2022-10-05 07:29:59.81, 9, 3->2, 1.34, car
2022-10-05 07:30:01.05, 9, 3->0, 4.55, car
2022-10-05 07:30:01.05, 9, 3->1, 2.46, car
2022-10-05 07:30:01.75, 9, 0->1, 15.0, car
2022-10-05 07:30:01.75, 9, 3->2, 1.39, car
2022-10-05 07:30:02.61, 9, 3->1, 2.75, car
2022-10-05 07:30:03.58, 9, 3->2, 1.55, car
2022-10-05 07:30:03.85, 9, 3->1, 2.94, car
2022-10-05 07:30:06.08, 9, 3->2, 1.58, truck_s
2022-10-05 07:30:06.15, 9, 3->1, 2.88, car
2022-10-05 07:30:09.11, 9, 3->2, 1.33, car
2022-10-05 07:30:10.68, 9, 3->2, 1.37, car
2022-10-05 07:30:12.95, 9, 2->0, 3.45, car
2022-10-05 07:30:14.95, 9, 2->0, 3.06, car
2022-10-05 07:30:15.95, 9, 1->2, 3.05, car
2022-10-05 07:30:16.25, 9, 2->0, 2.63, car
2022-10-05 07:30:16.71, 9, 0->2, 2.22, car
2022-10-05 07:30:18.95, 9, 0->2, 2.07, car
2022-10-05 07:30:20.51, 9, 0->2, 2.17, car
2022-10-05 07:30:20.81, 9, 0->2, 2.23, car
2022-10-05 07:30:21.88, 9, 2->0, 3.01, car
2022-10-05 07:30:22.08, 9, 0->2, 2.17, car
2022-10-05 07:30:23.15, 9, 1->2, 1.83, car
2022-10-05 07:30:24.78, 9, 2->0, 2.59, car
2022-10-05 07:30:25.78, 9, 0->2, 2.06, car
2022-10-05 07:30:26.45, 9, 2->0, 2.74, car
2022-10-05 07:30:26.75, 9, 2->0, 2.65, car
2022-10-05 07:30:27.55, 9, 0->2, 2.25, car
2022-10-05 07:30:28.28, 9, 2->0, 2.96, car
2022-10-05 07:30:29.55, 9, 0->2, 2.2, car
2022-10-05 07:30:29.75, 9, 2->0, 2.9, car
2022-10-05 07:30:31.08, 9, 2->0, 2.89, car
2022-10-05 07:30:32.11, 9, 0->2, 2.6, car
