2022-10-05 07:29:31.85, 24, 0->2, 4.74, car
2022-10-05 07:29:32.52, 24, 0->3, 5.04, car
2022-10-05 07:29:35.45, 24, 0->2, 5.95, car
2022-10-05 07:29:43.72, 24, 0->1, 5.83, car
2022-10-05 07:29:45.18, 24, 0->3, 4.68, car
2022-10-05 07:29:46.52, 24, 0->3, 5.07, car
2022-10-05 07:29:51.38, 24, 0->3, 1.75, bus_m
2022-10-05 07:29:52.78, 24, 1->3, 3.8, bus_m
2022-10-05 07:30:02.58, 24, 1->3, 4.9, bus_m
2022-10-05 07:30:12.65, 24, 1->3, 4.37, bus_m
2022-10-05 07:30:15.65, 24, 1->3, 3.52, bus_m
2022-10-05 07:30:47.98, 24, 1->0, 7.37, car
2022-10-05 07:30:56.91, 24, 1->0, 6.26, car
2022-10-05 07:31:07.18, 24, 1->0, 4.61, truck_s
2022-10-05 07:31:13.91, 24, 0->2, 4.1, car
2022-10-05 07:31:16.25, 24, 0->2, 5.04, car
2022-10-05 07:31:18.31, 24, 0->2, 4.26, car
2022-10-05 07:31:20.78, 24, 0->2, 4.02, car
2022-10-05 07:31:22.45, 24, 0->2, 4.33, car
2022-10-05 07:31:24.78, 24, 0->2, 4.64, car
2022-10-05 07:31:27.91, 24, 0->2, 5.4, car
2022-10-05 07:31:28.51, 24, 0->2, 6.19, car
2022-10-05 07:31:32.11, 24, 0->2, 7.37, car
2022-10-05 07:31:36.31, 24, 0->2, 6.64, truck_s
2022-10-05 07:31:38.11, 24, 0->2, 6.85, car
2022-10-05 07:31:46.91, 24, 0->1, 4.72, car
2022-10-05 07:31:47.91, 24, 0->2, 6.93, car
2022-10-05 07:31:59.11, 24, 0->1, 5.83, car
2022-10-05 07:32:00.31, 24, 0->2, 8.36, car
2022-10-05 07:32:03.11, 24, 0->2, 5.7, car
2022-10-05 07:32:04.05, 24, 0->2, 6.76, car
2022-10-05 07:32:05.18, 24, 0->2, 6.86, car
2022-10-05 07:32:10.11, 24, 0->3, 5.08, car
2022-10-05 07:32:12.38, 24, 0->2, 6.82, car
2022-10-05 07:32:15.18, 24, 0->3, 4.83, car
2022-10-05 07:32:17.18, 24, 0->3, 5.5, car
2022-10-05 07:32:22.78, 24, 0->3, 4.27, truck_s
2022-10-05 07:32:34.85, 24, 1->3, 4.49, bus_m
2022-10-05 07:32:57.90, 24, 1->3, 3.33, bus_m
2022-10-05 07:33:02.04, 24, 1->3, 4.66, bus_m
2022-10-05 07:33:11.77, 24, 1->3, 4.44, bus_m
2022-10-05 07:33:26.50, 24, 1->0, 6.98, car
2022-10-05 07:33:26.50, 24, 1->0, 5.21, car
2022-10-05 07:33:29.70, 24, 1->0, 6.89, car
2022-10-05 07:33:31.90, 24, 1->0, 2.98, car
2022-10-05 07:33:40.90, 24, 3->2, 3.6, car
2022-10-05 07:33:42.90, 24, 1->0, 5.18, car
2022-10-05 07:33:54.30, 24, 0->2, 5.01, car
