2022-10-06 07:28:20.16, 25, 1->0, 4.78, car
2022-10-06 07:28:21.96, 25, 1->0, 5.14, car
2022-10-06 07:28:22.69, 25, 1->0, 7.02, car
2022-10-06 07:28:26.29, 25, 1->0, 5.86, car
2022-10-06 07:28:28.09, 25, 1->0, 6.03, car
2022-10-06 07:28:33.49, 25, 1->0, 4.28, car
2022-10-06 07:28:35.43, 25, 1->0, 4.65, car
2022-10-06 07:28:36.03, 25, 1->0, 5.66, car
2022-10-06 07:28:38.76, 25, 1->0, 5.47, car
2022-10-06 07:28:41.29, 25, 3->0, 5.24, car
2022-10-06 07:28:43.56, 25, 1->0, 5.74, car
2022-10-06 07:28:45.23, 25, 1->0, 6.12, car
2022-10-06 07:28:52.63, 25, 0->1, 27.64, car
2022-10-06 07:28:57.36, 25, 2->0, 2.95, car
2022-10-06 07:29:07.43, 25, 0->2, 3.85, bus_m
2022-10-06 07:29:11.83, 25, 0->1, 3.54, car
2022-10-06 07:29:23.56, 25, 0->2, 4.38, car
2022-10-06 07:29:26.23, 25, 0->1, 5.06, car
2022-10-06 07:29:34.29, 25, 0->3, 6.08, car
2022-10-06 07:29:36.63, 25, 0->3, 6.73, car
2022-10-06 07:29:41.56, 25, 0->3, 6.38, car
2022-10-06 07:29:43.09, 25, 0->3, 6.12, car
2022-10-06 07:29:45.23, 25, 0->3, 5.78, car
2022-10-06 07:29:46.43, 25, 0->3, 6.28, car
2022-10-06 07:29:46.56, 25, 2->1, 4.74, car
2022-10-06 07:29:48.23, 25, 0->3, 5.64, car
2022-10-06 07:29:49.76, 25, 0->3, 5.13, car
2022-10-06 07:29:51.23, 25, 0->3, 5.97, car
2022-10-06 07:29:52.63, 25, 2->1, 3.62, car
2022-10-06 07:29:53.49, 25, 0->3, 5.76, car
2022-10-06 07:29:54.16, 25, 2->1, 4.02, car
2022-10-06 07:29:54.69, 25, 0->3, 6.7, car
2022-10-06 07:30:07.39, 25, 3->1, 7.15, car
2022-10-06 07:30:10.85, 25, 3->1, 4.28, car
2022-10-06 07:30:13.05, 25, 3->1, 5.61, car
