2022-10-12 07:30:09.83, 26, 1->0, 29.54, car
2022-10-12 07:30:16.43, 26, 1->0, 18.39, bus_m
2022-10-12 07:30:55.49, 26, 1->0, 41.7, car
2022-10-12 07:30:57.76, 26, 1->0, 41.72, car
2022-10-12 07:31:16.69, 26, 1->0, 45.41, car
2022-10-12 07:31:19.83, 26, 1->0, 40.96, car
2022-10-12 07:31:26.76, 26, 1->0, 36.15, car
2022-10-12 07:31:36.63, 26, 1->0, 29.45, car
2022-10-12 07:31:39.83, 26, 1->0, 44.06, car
2022-10-12 07:31:49.43, 26, 1->0, 46.9, car
2022-10-12 07:31:51.63, 26, 1->0, 40.35, car
2022-10-12 07:31:59.09, 26, 1->0, 45.42, car
2022-10-12 07:32:07.29, 26, 1->0, 24.37, car
2022-10-12 07:32:11.42, 26, 1->0, 16.44, truck_s
2022-10-12 07:34:09.58, 26, 1->0, 25.06, bus_m
2022-10-12 07:34:12.85, 26, 1->0, 33.96, truck_s
2022-10-12 07:34:17.18, 26, 1->0, 34.42, car
2022-10-12 07:34:27.45, 26, 1->0, 39.37, car
2022-10-12 07:34:30.71, 26, 1->0, 45.7, car
2022-10-12 07:34:40.98, 26, 1->0, 41.15, car
2022-10-12 07:34:43.51, 26, 1->0, 48.46, car
2022-10-12 07:34:46.11, 26, 1->0, 53.22, car
2022-10-12 07:34:48.78, 26, 1->0, 46.28, car
2022-10-12 07:34:56.05, 26, 1->0, 40.73, car
2022-10-12 07:35:08.11, 26, 1->0, 32.25, car
2022-10-12 07:35:26.24, 26, 1->0, 14.77, bus_m
2022-10-12 07:35:31.44, 26, 1->0, 14.42, truck_s
2022-10-12 07:37:15.51, 26, 1->0, 26.91, truck_s
2022-10-12 07:37:18.77, 26, 1->0, 37.66, car
2022-10-12 07:37:24.70, 26, 1->0, 55.23, car
2022-10-12 07:37:44.63, 26, 1->0, 28.85, bus_m
2022-10-12 07:37:54.30, 26, 1->0, 23.74, car
2022-10-12 07:40:16.19, 26, 1->0, 26.74, bus_m
2022-10-12 07:40:18.99, 26, 1->0, 34.77, car
2022-10-12 07:40:22.73, 26, 1->0, 32.9, car
2022-10-12 07:40:25.46, 26, 1->0, 45.81, car
2022-10-12 07:40:27.73, 26, 1->0, 47.83, car
2022-10-12 07:40:30.59, 26, 1->0, 53.43, car
2022-10-12 07:40:37.92, 26, 1->0, 46.28, car
2022-10-12 07:40:47.12, 26, 1->0, 33.46, car
2022-10-12 07:40:54.12, 26, 1->0, 36.37, car
2022-10-12 07:40:57.92, 26, 1->0, 44.05, car
2022-10-12 07:41:00.32, 26, 1->0, 38.87, car
2022-10-12 07:41:02.72, 26, 1->0, 42.35, car
2022-10-12 07:43:15.12, 26, 1->0, 25.98, bus_m
2022-10-12 07:43:19.05, 26, 1->0, 35.57, truck_s
2022-10-12 07:43:24.05, 26, 1->0, 27.42, bus_m
2022-10-12 07:43:32.72, 26, 1->0, 54.78, car
2022-10-12 07:43:42.65, 26, 1->0, 42.35, car
2022-10-12 07:43:52.78, 26, 1->0, 31.9, bus_m
2022-10-12 07:43:55.12, 26, 1->0, 39.24, truck_s
2022-10-12 07:44:00.18, 26, 1->0, 40.47, car
2022-10-12 07:44:04.65, 26, 1->0, 28.71, car
2022-10-12 07:44:12.05, 26, 1->0, 17.69, car
