2022-10-06 07:28:15.32, 27, 0->1, 17.85, car
2022-10-06 07:28:17.56, 27, 0->2, 3.99, car
2022-10-06 07:28:18.19, 27, 2->0, 3.06, car
2022-10-06 07:28:18.82, 27, 2->3, 3.03, car
2022-10-06 07:28:19.72, 27, 2->0, 2.96, car
2022-10-06 07:28:21.42, 27, 2->0, 2.61, car
2022-10-06 07:28:21.46, 27, 0->1, 6.57, car
2022-10-06 07:28:22.02, 27, 2->0, 2.76, car
2022-10-06 07:28:24.22, 27, 2->0, 2.6, car
2022-10-06 07:28:24.99, 27, 2->0, 3.11, car
2022-10-06 07:28:25.56, 27, 2->0, 3.04, car
2022-10-06 07:28:26.09, 27, 2->0, 3.22, car
2022-10-06 07:28:27.09, 27, 0->2, 4.32, car
2022-10-06 07:28:27.39, 27, 2->0, 3.2, car
2022-10-06 07:28:28.16, 27, 2->0, 2.89, car
2022-10-06 07:28:29.52, 27, 2->0, 3.73, car
2022-10-06 07:28:30.09, 27, 0->1, 5.92, car
2022-10-06 07:28:31.66, 27, 2->0, 3.63, car
2022-10-06 07:28:32.66, 27, 2->0, 2.66, car
2022-10-06 07:28:32.96, 27, 2->0, 3.27, car
2022-10-06 07:28:33.22, 27, 0->2, 5.52, car
2022-10-06 07:28:33.59, 27, 2->0, 3.58, car
2022-10-06 07:28:34.46, 27, 0->2, 4.61, car
2022-10-06 07:28:35.19, 27, 2->0, 3.72, car
2022-10-06 07:28:36.56, 27, 2->0, 3.69, car
2022-10-06 07:28:37.12, 27, 0->2, 5.94, truck_s
2022-10-06 07:28:37.19, 27, 0->2, 6.5, car
2022-10-06 07:28:37.22, 27, 0->2, 4.93, car
2022-10-06 07:28:38.46, 27, 2->0, 2.85, car
2022-10-06 07:28:39.32, 27, 2->0, 3.35, car
2022-10-06 07:28:39.56, 27, 0->1, 18.07, car
2022-10-06 07:28:39.69, 27, 2->0, 3.38, car
2022-10-06 07:28:41.19, 27, 0->2, 4.41, car
2022-10-06 07:28:41.99, 27, 2->0, 3.01, car
2022-10-06 07:28:43.82, 27, 2->0, 2.66, car
2022-10-06 07:28:44.36, 27, 2->0, 3.09, car
2022-10-06 07:28:44.92, 27, 2->0, 2.94, bus_m
