2022-10-06 07:29:25.06, 28, 2->0, 7.18, car
2022-10-06 07:29:25.86, 28, 2->0, 4.72, car
2022-10-06 07:29:26.59, 28, 2->0, 5.41, bus_s
2022-10-06 07:29:27.26, 28, 2->0, 5.39, car
2022-10-06 07:29:29.13, 28, 2->0, 6.35, car
2022-10-06 07:29:29.26, 28, 0->1, 3.28, car
2022-10-06 07:29:30.26, 28, 2->0, 6.92, car
2022-10-06 07:29:30.59, 28, 2->0, 6.29, car
2022-10-06 07:29:31.86, 28, 2->0, 4.83, bus_s
2022-10-06 07:29:32.73, 28, 2->0, 6.42, car
2022-10-06 07:29:32.73, 28, 2->0, 7.48, car
2022-10-06 07:29:33.79, 28, 2->0, 6.4, car
2022-10-06 07:29:35.06, 28, 2->0, 5.7, car
2022-10-06 07:29:35.26, 28, 2->0, 6.9, car
2022-10-06 07:29:37.19, 28, 2->0, 4.63, bus_s
2022-10-06 07:29:37.46, 28, 2->0, 5.93, car
2022-10-06 07:29:38.19, 28, 2->0, 6.54, car
2022-10-06 07:29:38.59, 28, 2->0, 8.02, car
2022-10-06 07:29:39.13, 28, 2->0, 6.45, car
2022-10-06 07:29:40.26, 28, 2->0, 9.07, car
2022-10-06 07:29:41.46, 28, 0->2, 3.1, car
2022-10-06 07:29:42.79, 28, 2->0, 6.92, car
2022-10-06 07:29:42.93, 28, 2->0, 8.69, car
2022-10-06 07:29:44.06, 28, 2->0, 7.3, car
2022-10-06 07:29:45.39, 28, 2->0, 5.14, car
2022-10-06 07:29:45.93, 28, 2->0, 7.59, car
2022-10-06 07:29:46.73, 28, 2->0, 9.26, car
2022-10-06 07:29:46.79, 28, 2->0, 5.47, car
2022-10-06 07:29:47.33, 28, 2->0, 8.27, car
2022-10-06 07:29:48.53, 28, 2->0, 9.5, car
2022-10-06 07:29:48.59, 28, 2->0, 5.64, car
2022-10-06 07:29:49.93, 28, 2->0, 6.76, car
2022-10-06 07:29:52.19, 28, 2->0, 6.49, truck_s
2022-10-06 07:29:54.86, 28, 2->0, 6.3, car
2022-10-06 07:29:55.93, 28, 2->0, 7.81, car
2022-10-06 07:29:56.79, 28, 2->0, 5.74, car
2022-10-06 07:29:58.59, 28, 2->0, 7.2, car
2022-10-06 07:29:58.79, 28, 2->0, 6.5, car
2022-10-06 07:30:00.46, 28, 2->0, 6.19, car
2022-10-06 07:30:01.19, 28, 2->0, 7.82, car
2022-10-06 07:30:02.53, 28, 2->0, 6.03, car
2022-10-06 07:30:03.53, 28, 2->0, 6.18, car
2022-10-06 07:30:04.46, 28, 2->0, 5.6, car
2022-10-06 07:30:05.33, 28, 2->0, 5.38, car
2022-10-06 07:30:07.66, 28, 2->0, 5.84, car
2022-10-06 07:30:07.66, 28, 2->0, 6.72, car
2022-10-06 07:30:08.13, 28, 4->5, 18.24, car
2022-10-06 07:30:09.79, 28, 2->0, 6.21, car
2022-10-06 07:30:11.79, 28, 2->0, 7.01, car
2022-10-06 07:30:12.19, 28, 4->5, 20.2, car
2022-10-06 07:30:12.73, 28, 2->0, 5.48, car
2022-10-06 07:30:14.53, 28, 2->0, 6.74, car
2022-10-06 07:30:14.86, 28, 4->5, 21.23, car
2022-10-06 07:30:15.73, 28, 2->0, 7.08, bus_s
2022-10-06 07:30:17.19, 28, 2->0, 6.44, car
2022-10-06 07:30:17.33, 28, 2->0, 7.06, car
2022-10-06 07:30:19.93, 28, 2->0, 6.3, bus_s
2022-10-06 07:30:19.99, 28, 4->5, 11.99, bus_m
2022-10-06 07:30:20.06, 28, 2->0, 6.84, car
2022-10-06 07:30:20.33, 28, 2->0, 7.27, car
2022-10-06 07:30:23.19, 28, 2->0, 6.55, car
2022-10-06 07:30:24.93, 28, 2->0, 7.76, car
2022-10-06 07:30:25.59, 28, 2->0, 6.78, bus_s
2022-10-06 07:30:26.33, 28, 2->0, 7.33, car
2022-10-06 07:30:26.86, 28, 4->5, 19.83, car
2022-10-06 07:30:30.13, 28, 4->5, 18.28, car
2022-10-06 07:30:32.93, 28, 4->5, 18.14, car
2022-10-06 07:30:35.19, 28, 4->5, 30.77, car
2022-10-06 07:30:37.59, 28, 4->5, 26.77, car
2022-10-06 07:30:39.26, 28, 0->2, 4.34, car
2022-10-06 07:30:39.86, 28, 2->1, 4.71, car
2022-10-06 07:30:40.66, 28, 4->5, 25.94, car
2022-10-06 07:30:43.73, 28, 4->5, 20.61, car
