2022-10-06 07:28:27.45, 3, 6->7, 51.69, car
2022-10-06 07:28:28.38, 3, 4->5, 14.87, car
2022-10-06 07:28:29.52, 3, 6->7, 47.59, car
2022-10-06 07:28:30.18, 3, 4->5, 17.39, car
2022-10-06 07:28:31.65, 3, 6->7, 39.64, car
2022-10-06 07:28:32.98, 3, 4->5, 13.24, car
2022-10-06 07:28:35.65, 3, 2->9, 8.82, car
2022-10-06 07:28:37.72, 3, 4->5, 25.56, car
2022-10-06 07:28:40.92, 3, 6->7, 55.79, car
2022-10-06 07:28:43.58, 3, 6->7, 63.18, car
2022-10-06 07:28:45.78, 3, 6->7, 66.83, car
2022-10-06 07:28:48.12, 3, 6->7, 55.18, car
2022-10-06 07:28:48.85, 3, 4->5, 18.93, car
2022-10-06 07:28:50.52, 3, 6->7, 54.61, truck_s
2022-10-06 07:28:52.92, 3, 4->5, 15.28, car
2022-10-06 07:28:53.65, 3, 6->7, 67.11, car
2022-10-06 07:28:56.18, 3, 6->7, 62.3, car
2022-10-06 07:28:56.65, 3, 1->0, 5.12, car
2022-10-06 07:29:00.52, 3, 4->5, 13.54, car
2022-10-06 07:29:07.32, 3, 4->5, 16.49, car
2022-10-06 07:29:11.05, 3, 6->7, 66.8, car
2022-10-06 07:29:12.18, 3, 3->0, 6.15, car
2022-10-06 07:29:15.85, 3, 1->0, 4.74, car
2022-10-06 07:29:19.32, 3, 4->5, 18.12, car
2022-10-06 07:29:40.92, 3, 1->0, 3.39, car
2022-10-06 07:29:45.52, 3, 0->2, 4.0, truck_s
2022-10-06 07:29:50.92, 3, 0->2, 6.74, car
2022-10-06 07:29:53.05, 3, 0->2, 4.81, bus_m
2022-10-06 07:29:53.38, 3, 0->2, 6.85, car
2022-10-06 07:29:55.12, 3, 0->2, 4.8, car
2022-10-06 07:29:56.85, 3, 0->2, 5.14, car
2022-10-06 07:29:57.85, 3, 0->2, 5.39, car
2022-10-06 07:29:58.85, 3, 2->0, 6.95, car
2022-10-06 07:30:02.52, 3, 2->0, 4.97, truck_m
2022-10-06 07:30:05.05, 3, 2->0, 6.71, car
2022-10-06 07:30:06.32, 3, 2->0, 6.89, car
2022-10-06 07:30:08.92, 3, 0->2, 4.42, car
2022-10-06 07:30:12.45, 3, 0->2, 6.43, car
2022-10-06 07:30:12.45, 3, 0->2, 5.27, truck_s
