2022-10-06 07:30:43.08, 31, 2->0, 2.62, bus_m
2022-10-06 07:30:46.48, 31, 2->0, 3.67, truck_s
2022-10-06 07:30:52.68, 31, 2->0, 2.93, car
2022-10-06 07:30:54.71, 31, 2->0, 2.75, car
2022-10-06 07:30:56.28, 31, 0->2, 1.81, car
2022-10-06 07:31:42.65, 31, 2->1, 3.75, car
2022-10-06 07:31:45.45, 31, 2->1, 3.23, car
2022-10-06 07:31:46.55, 31, 2->1, 3.31, car
2022-10-06 07:31:50.48, 31, 2->1, 3.36, car
2022-10-06 07:31:55.38, 31, 2->1, 3.59, car
2022-10-06 07:31:58.95, 31, 2->1, 4.08, car
2022-10-06 07:32:01.65, 31, 2->1, 3.46, car
2022-10-06 07:32:01.75, 31, 2->1, 3.94, car
2022-10-06 07:32:02.85, 31, 2->1, 5.52, car
2022-10-06 07:32:08.15, 31, 2->1, 5.01, car
2022-10-06 07:32:11.01, 31, 2->1, 3.77, truck_m
2022-10-06 07:32:11.65, 31, 2->1, 5.02, car
2022-10-06 07:32:13.85, 31, 2->1, 3.99, car
2022-10-06 07:32:14.35, 31, 2->1, 4.53, car
2022-10-06 07:32:14.55, 31, 2->0, 0.92, car
2022-10-06 07:32:15.78, 31, 2->0, 4.1, car
2022-10-06 07:32:18.95, 31, 2->0, 2.77, car
2022-10-06 07:32:19.61, 31, 2->1, 4.6, car
2022-10-06 07:32:20.55, 31, 2->1, 4.39, car
2022-10-06 07:32:20.91, 31, 2->0, 3.65, car
2022-10-06 07:32:29.95, 31, 2->1, 5.12, truck_s
2022-10-06 07:32:34.51, 31, 2->1, 3.81, car
2022-10-06 07:32:35.58, 31, 2->1, 3.87, car
2022-10-06 07:32:39.45, 31, 2->0, 3.74, car
2022-10-06 07:32:39.65, 31, 2->1, 4.27, car
2022-10-06 07:32:48.78, 31, 2->0, 4.27, truck_s
2022-10-06 07:33:04.97, 31, 1->0, 1.57, car
2022-10-06 07:33:13.34, 31, 1->0, 1.71, car
