2022-10-12 07:29:38.45, 33, 2->0, 9.53, car
2022-10-12 07:29:38.58, 33, 2->0, 10.92, car
2022-10-12 07:29:40.12, 33, 2->0, 10.75, car
2022-10-12 07:29:40.58, 33, 0->2, 13.48, car
2022-10-12 07:29:41.12, 33, 2->0, 8.46, car
2022-10-12 07:29:41.78, 33, 2->0, 3.7, car
2022-10-12 07:29:42.72, 33, 2->0, 4.03, car
2022-10-12 07:29:42.92, 33, 2->0, 10.92, car
2022-10-12 07:29:44.25, 33, 2->0, 12.71, car
2022-10-12 07:29:44.78, 33, 2->0, 4.06, car
2022-10-12 07:29:45.52, 33, 2->0, 3.93, car
2022-10-12 07:29:46.45, 33, 2->0, 14.23, car
2022-10-12 07:29:47.05, 33, 2->0, 8.51, car
2022-10-12 07:29:47.12, 33, 2->0, 10.68, truck_s
2022-10-12 07:29:47.12, 33, 2->0, 4.13, car
2022-10-12 07:29:47.72, 33, 0->2, 11.87, car
2022-10-12 07:29:48.85, 33, 2->0, 4.13, car
2022-10-12 07:29:50.12, 33, 0->2, 9.48, car
2022-10-12 07:29:50.12, 33, 2->0, 3.74, car
2022-10-12 07:29:50.38, 33, 2->0, 3.76, car
2022-10-12 07:29:51.92, 33, 2->0, 3.97, car
2022-10-12 07:29:53.72, 33, 2->0, 4.13, car
2022-10-12 07:29:59.18, 33, 3->1, 3.13, car
2022-10-12 07:30:01.32, 33, 3->1, 3.28, car
2022-10-12 07:30:02.52, 33, 3->1, 3.61, car
2022-10-12 07:30:05.98, 33, 3->1, 4.43, car
2022-10-12 07:30:06.52, 33, 3->2, 6.13, car
2022-10-12 07:30:09.25, 33, 3->2, 8.81, truck_s
2022-10-12 07:30:15.32, 33, 3->1, 4.98, car
2022-10-12 07:31:17.92, 33, 1->0, 3.44, car
2022-10-12 07:31:18.45, 33, 1->0, 6.41, car
2022-10-12 07:31:20.12, 33, 0->1, 18.21, bus_m
2022-10-12 07:31:20.65, 33, 1->0, 6.26, car
2022-10-12 07:31:23.05, 33, 1->0, 3.26, car
2022-10-12 07:31:23.18, 33, 1->0, 4.83, car
2022-10-12 07:31:26.12, 33, 1->0, 3.69, car
2022-10-12 07:31:26.32, 33, 1->0, 3.08, car
2022-10-12 07:31:27.25, 33, 1->0, 5.95, car
2022-10-12 07:31:28.72, 33, 1->0, 6.09, car
2022-10-12 07:31:31.05, 33, 1->0, 5.3, car
2022-10-12 07:31:34.25, 33, 1->0, 5.75, car
2022-10-12 07:31:37.27, 33, 1->0, 2.93, bus_m
2022-10-12 07:31:37.74, 33, 1->0, 4.3, car
2022-10-12 07:31:38.94, 33, 1->0, 4.24, car
2022-10-12 07:31:39.47, 33, 1->0, 3.31, car
2022-10-12 07:31:42.61, 33, 1->0, 3.3, car
2022-10-12 07:31:44.27, 33, 1->0, 3.14, car
2022-10-12 07:31:45.87, 33, 1->0, 4.59, car
2022-10-12 07:31:45.87, 33, 1->0, 3.05, car
2022-10-12 07:31:46.67, 33, 1->0, 8.14, car
2022-10-12 07:31:47.27, 33, 1->0, 2.91, car
2022-10-12 07:31:49.07, 33, 1->0, 3.1, car
2022-10-12 07:31:49.47, 33, 1->0, 5.0, car
2022-10-12 07:31:50.47, 33, 1->0, 3.13, car
2022-10-12 07:31:52.01, 33, 1->0, 4.29, car
2022-10-12 07:31:53.81, 33, 1->0, 4.02, car
2022-10-12 07:31:54.87, 33, 1->0, 4.43, car
2022-10-12 07:31:56.61, 33, 1->0, 3.16, truck_s
2022-10-12 07:31:57.67, 33, 1->0, 3.22, car
2022-10-12 07:32:00.81, 33, 2->0, 6.41, car
2022-10-12 07:32:01.27, 33, 2->0, 6.66, car
2022-10-12 07:32:01.41, 33, 2->0, 7.52, car
2022-10-12 07:32:02.74, 33, 0->2, 7.65, car
2022-10-12 07:32:02.94, 33, 2->0, 5.73, car
2022-10-12 07:32:03.54, 33, 2->0, 7.06, car
2022-10-12 07:32:04.01, 33, 2->0, 6.66, car
2022-10-12 07:32:04.61, 33, 2->0, 4.49, car
2022-10-12 07:32:04.94, 33, 2->0, 6.47, car
2022-10-12 07:32:06.01, 33, 2->0, 6.96, car
2022-10-12 07:32:06.21, 33, 0->2, 8.53, car
2022-10-12 07:32:06.34, 33, 2->0, 6.1, car
2022-10-12 07:32:06.47, 33, 2->0, 6.47, car
2022-10-12 07:32:07.27, 33, 2->0, 6.35, car
2022-10-12 07:32:07.81, 33, 2->0, 6.44, car
2022-10-12 07:32:07.94, 33, 2->0, 5.79, car
2022-10-12 07:32:08.41, 33, 2->0, 6.17, car
2022-10-12 07:32:09.47, 33, 2->0, 6.16, car
2022-10-12 07:32:09.61, 33, 2->0, 4.88, car
2022-10-12 07:32:10.14, 33, 2->0, 6.63, car
2022-10-12 07:32:10.14, 33, 2->0, 6.86, bus_m
2022-10-12 07:32:10.81, 33, 2->0, 6.55, car
2022-10-12 07:32:11.01, 33, 2->0, 6.27, car
2022-10-12 07:32:12.14, 33, 2->0, 6.21, car
2022-10-12 07:32:12.21, 33, 2->0, 7.95, car
2022-10-12 07:32:12.47, 33, 2->0, 6.27, car
2022-10-12 07:32:13.47, 33, 2->0, 7.03, car
2022-10-12 07:32:13.54, 33, 2->0, 4.69, car
2022-10-12 07:32:13.81, 33, 2->0, 6.68, car
2022-10-12 07:32:14.01, 33, 2->0, 6.08, car
2022-10-12 07:32:14.87, 33, 2->0, 7.16, bus_m
2022-10-12 07:32:15.41, 33, 2->0, 8.66, car
2022-10-12 07:32:15.94, 33, 2->0, 6.75, car
2022-10-12 07:32:17.87, 33, 2->0, 6.08, car
2022-10-12 07:32:18.27, 33, 2->0, 7.3, car
2022-10-12 07:32:18.41, 33, 2->0, 6.87, car
2022-10-12 07:32:18.94, 33, 2->0, 4.68, car
2022-10-12 07:32:19.07, 33, 2->0, 6.2, car
2022-10-12 07:32:20.01, 33, 2->0, 5.72, car
2022-10-12 07:32:20.14, 33, 2->0, 7.02, car
2022-10-12 07:32:20.47, 33, 2->0, 6.58, truck_s
2022-10-12 07:32:20.67, 33, 0->2, 7.62, car
2022-10-12 07:32:21.47, 33, 2->0, 6.54, car
2022-10-12 07:32:21.74, 33, 2->0, 6.56, car
2022-10-12 07:32:22.74, 33, 2->0, 7.11, car
2022-10-12 07:32:22.87, 33, 2->0, 6.86, car
2022-10-12 07:32:23.87, 33, 2->0, 3.4, bus_m
2022-10-12 07:32:23.94, 33, 2->0, 6.86, car
2022-10-12 07:32:24.14, 33, 0->2, 6.09, bus_m
2022-10-12 07:32:24.81, 33, 2->0, 6.24, car
2022-10-12 07:32:24.94, 33, 2->0, 7.51, truck_s
2022-10-12 07:32:25.14, 33, 0->2, 7.55, car
2022-10-12 07:32:25.61, 33, 2->0, 4.05, bus_m
2022-10-12 07:32:26.74, 33, 0->2, 6.5, car
2022-10-12 07:32:27.07, 33, 2->0, 7.13, car
2022-10-12 07:32:27.21, 33, 2->0, 7.12, car
2022-10-12 07:32:27.61, 33, 2->0, 3.76, car
2022-10-12 07:32:28.34, 33, 0->2, 6.73, car
2022-10-12 07:32:28.47, 33, 2->0, 6.25, car
2022-10-12 07:32:28.74, 33, 2->0, 6.7, car
2022-10-12 07:32:29.41, 33, 2->0, 3.91, car
2022-10-12 07:32:29.54, 33, 0->2, 6.81, car
2022-10-12 07:32:29.61, 33, 0->2, 6.78, car
2022-10-12 07:32:30.07, 33, 2->0, 6.29, car
2022-10-12 07:32:31.01, 33, 2->0, 4.18, car
2022-10-12 07:32:31.07, 33, 2->0, 3.72, bus_m
2022-10-12 07:32:31.14, 33, 2->0, 7.16, car
2022-10-12 07:32:31.34, 33, 0->2, 7.3, car
2022-10-12 07:32:31.54, 33, 2->0, 6.36, car
2022-10-12 07:32:32.47, 33, 2->0, 4.98, truck_s
2022-10-12 07:32:32.54, 33, 2->0, 3.71, car
2022-10-12 07:32:32.87, 33, 0->2, 7.96, car
2022-10-12 07:32:32.94, 33, 2->0, 7.12, truck_s
2022-10-12 07:32:33.01, 33, 2->0, 7.35, car
2022-10-12 07:32:33.14, 33, 0->2, 6.99, car
2022-10-12 07:32:34.01, 33, 0->2, 8.75, car
2022-10-12 07:32:34.27, 33, 0->2, 7.92, car
2022-10-12 07:32:34.27, 33, 2->0, 6.73, car
2022-10-12 07:32:34.47, 33, 2->0, 3.38, bus_m
2022-10-12 07:32:34.87, 33, 2->0, 3.57, car
2022-10-12 07:32:35.07, 33, 2->0, 7.63, car
2022-10-12 07:32:35.81, 33, 2->0, 6.96, car
2022-10-12 07:32:35.81, 33, 2->0, 5.75, car
2022-10-12 07:32:36.61, 33, 2->0, 7.35, car
2022-10-12 07:32:36.81, 33, 2->0, 3.78, car
2022-10-12 07:32:36.94, 33, 0->2, 9.63, car
2022-10-12 07:32:37.01, 33, 2->0, 6.45, car
2022-10-12 07:32:38.61, 33, 2->0, 3.85, car
2022-10-12 07:32:38.67, 33, 2->0, 6.26, car
2022-10-12 07:32:38.81, 33, 2->0, 7.0, car
2022-10-12 07:32:39.27, 33, 0->2, 4.94, car
2022-10-12 07:32:39.34, 33, 2->0, 7.55, car
2022-10-12 07:32:39.54, 33, 0->2, 6.75, car
2022-10-12 07:32:40.54, 33, 2->0, 6.12, car
2022-10-12 07:32:40.67, 33, 2->0, 3.42, car
2022-10-12 07:32:40.87, 33, 2->0, 7.36, car
2022-10-12 07:32:40.87, 33, 0->2, 7.07, car
2022-10-12 07:32:41.14, 33, 2->0, 7.33, car
2022-10-12 07:32:41.87, 33, 2->0, 6.6, car
2022-10-12 07:32:42.54, 33, 2->0, 7.6, car
2022-10-12 07:32:42.61, 33, 0->2, 7.17, car
2022-10-12 07:32:43.01, 33, 2->0, 6.56, car
2022-10-12 07:32:43.21, 33, 2->0, 3.35, car
2022-10-12 07:32:43.67, 33, 2->0, 8.14, car
2022-10-12 07:32:43.67, 33, 0->2, 9.03, car
2022-10-12 07:32:44.41, 33, 2->0, 10.14, car
2022-10-12 07:32:44.47, 33, 0->2, 9.85, truck_s
2022-10-12 07:32:44.67, 33, 2->0, 2.98, car
2022-10-12 07:32:44.87, 33, 2->0, 6.62, car
2022-10-12 07:32:45.21, 33, 2->0, 3.09, car
2022-10-12 07:32:45.27, 33, 2->0, 7.98, car
2022-10-12 07:32:46.67, 33, 0->2, 7.92, car
2022-10-12 07:32:46.74, 33, 0->2, 9.47, car
2022-10-12 07:32:46.94, 33, 2->0, 5.96, car
2022-10-12 07:32:47.34, 33, 2->0, 3.33, car
2022-10-12 07:32:47.94, 33, 0->2, 8.05, car
2022-10-12 07:32:48.14, 33, 2->0, 6.2, car
2022-10-12 07:32:48.14, 33, 0->2, 7.23, car
2022-10-12 07:32:48.14, 33, 2->0, 3.31, car
2022-10-12 07:32:49.01, 33, 2->0, 7.57, car
2022-10-12 07:32:49.81, 33, 2->0, 6.37, car
2022-10-12 07:32:50.01, 33, 0->2, 7.03, car
2022-10-12 07:32:50.07, 33, 0->2, 9.19, car
2022-10-12 07:32:50.74, 33, 0->1, 2.27, truck_s
2022-10-12 07:32:51.41, 33, 0->2, 7.0, car
2022-10-12 07:32:51.47, 33, 2->0, 6.66, car
2022-10-12 07:32:51.54, 33, 2->0, 8.04, car
2022-10-12 07:32:52.47, 33, 2->0, 8.07, car
2022-10-12 07:32:53.27, 33, 2->0, 7.02, car
2022-10-12 07:32:53.60, 33, 0->2, 11.61, car
2022-10-12 07:32:54.00, 33, 2->0, 8.6, car
2022-10-12 07:32:54.80, 33, 0->2, 8.34, car
2022-10-12 07:32:55.27, 33, 2->0, 7.06, truck_s
2022-10-12 07:32:55.34, 33, 2->0, 2.93, bus_m
2022-10-12 07:32:55.47, 33, 2->0, 7.3, car
2022-10-12 07:32:56.20, 33, 0->2, 7.55, car
2022-10-12 07:32:56.60, 33, 2->0, 7.05, car
2022-10-12 07:32:57.00, 33, 2->0, 8.38, car
2022-10-12 07:32:57.67, 33, 0->2, 8.88, car
2022-10-12 07:32:59.00, 33, 2->0, 7.78, car
2022-10-12 07:32:59.34, 33, 0->2, 8.44, car
2022-10-12 07:32:59.74, 33, 2->0, 6.47, car
2022-10-12 07:33:00.80, 33, 2->0, 7.61, car
2022-10-12 07:33:01.07, 33, 2->0, 3.35, bus_m
2022-10-12 07:33:01.14, 33, 2->0, 7.31, car
2022-10-12 07:33:02.47, 33, 0->2, 9.47, car
2022-10-12 07:33:03.14, 33, 0->2, 8.04, car
