2022-10-12 07:29:54.60, 34, 2->3, 5.08, car
2022-10-12 07:29:56.80, 34, 2->3, 4.9, car
2022-10-12 07:29:57.87, 34, 2->3, 5.49, car
2022-10-12 07:30:03.27, 34, 2->3, 5.24, truck_s
2022-10-12 07:30:26.87, 34, 2->3, 5.76, bus_m
2022-10-12 07:32:04.26, 34, 0->1, 28.49, car
2022-10-12 07:32:09.26, 34, 0->1, 30.39, car
2022-10-12 07:32:15.06, 34, 0->1, 29.53, truck_s
2022-10-12 07:32:18.06, 34, 0->1, 41.01, car
2022-10-12 07:32:23.33, 34, 0->1, 28.55, car
2022-10-12 07:32:28.39, 34, 0->1, 35.11, bus_m
2022-10-12 07:32:48.06, 34, 0->1, 26.12, car
2022-10-12 07:33:00.19, 34, 3->2, 6.11, truck_s
2022-10-12 07:33:14.72, 34, 2->3, 5.55, car
2022-10-12 07:33:18.52, 34, 2->3, 4.9, car
2022-10-12 07:33:20.19, 34, 2->3, 5.09, car
2022-10-12 07:33:22.39, 34, 2->3, 5.77, car
2022-10-12 07:33:27.12, 34, 2->3, 4.81, bus_m
2022-10-12 07:33:49.65, 34, 2->3, 6.38, car
2022-10-12 07:35:33.61, 34, 0->1, 36.45, car
2022-10-12 07:36:15.21, 34, 0->1, 17.22, car
2022-10-12 07:36:28.08, 34, 0->1, 30.11, car
2022-10-12 07:36:46.61, 34, 2->3, 5.75, car
2022-10-12 07:36:53.88, 34, 2->3, 1.41, bus_m
2022-10-12 07:36:58.68, 34, 2->3, 4.17, car
2022-10-12 07:37:00.41, 34, 2->3, 4.6, car
2022-10-12 07:37:20.74, 34, 2->3, 7.69, truck_s
2022-10-12 07:38:40.94, 34, 0->1, 33.92, bus_s
2022-10-12 07:38:53.20, 34, 0->1, 41.56, truck_s
2022-10-12 07:39:00.67, 34, 0->1, 32.01, car
2022-10-12 07:39:20.60, 34, 0->1, 30.9, car
2022-10-12 07:39:30.40, 34, 0->1, 26.96, car
2022-10-12 07:40:18.43, 34, 2->3, 5.11, truck_s
2022-10-12 07:40:23.63, 34, 2->3, 6.67, car
2022-10-12 07:40:25.49, 34, 2->3, 7.3, car
2022-10-12 07:40:29.23, 34, 2->3, 9.11, car
2022-10-12 07:40:38.49, 34, 2->3, 5.81, car
2022-10-12 07:41:58.76, 34, 0->1, 26.32, car
2022-10-12 07:42:16.02, 34, 0->1, 30.53, car
2022-10-12 07:43:06.09, 34, 0->1, 37.1, car
2022-10-12 07:43:15.96, 34, 2->1, 55.65, car
2022-10-12 07:43:47.82, 34, 2->3, 5.14, car
2022-10-12 07:43:50.82, 34, 2->3, 4.58, car
2022-10-12 07:43:52.88, 34, 2->3, 4.84, car
2022-10-12 07:44:16.02, 34, 2->3, 6.28, car
2022-10-12 07:44:19.88, 34, 2->3, 5.65, car
2022-10-12 07:44:21.42, 34, 2->3, 6.08, car
2022-10-12 07:44:29.28, 34, 2->3, 5.28, bus_m
2022-10-12 07:45:48.98, 34, 0->1, 39.46, car
2022-10-12 07:45:56.71, 34, 0->1, 29.41, car
2022-10-12 07:46:21.31, 34, 0->1, 39.11, car
2022-10-12 07:47:07.97, 34, 0->1, 35.96, bus_m
2022-10-12 07:47:16.10, 34, 2->3, 5.56, truck_s
2022-10-12 07:47:19.97, 34, 2->3, 5.86, car
2022-10-12 07:47:23.10, 34, 2->3, 6.33, car
2022-10-12 07:47:23.64, 34, 2->3, 3.87, car
2022-10-12 07:47:48.57, 34, 2->3, 10.11, car
2022-10-12 07:48:00.44, 34, 2->3, 6.22, car
2022-10-12 07:49:37.90, 34, 0->1, 44.87, car
2022-10-12 07:50:17.96, 34, 0->1, 32.95, car
2022-10-12 07:50:45.72, 34, 2->3, 5.5, car
2022-10-12 07:50:49.32, 34, 2->3, 6.04, car
2022-10-12 07:50:52.32, 34, 2->3, 5.23, truck_s
2022-10-12 07:50:54.12, 34, 2->3, 6.58, car
2022-10-12 07:50:55.46, 34, 2->3, 6.55, car
2022-10-12 07:51:02.86, 34, 2->3, 4.76, bus_m
2022-10-12 07:51:04.12, 34, 2->3, 6.12, car
2022-10-12 07:51:05.86, 34, 2->3, 5.47, car
2022-10-12 07:51:11.72, 34, 2->3, 5.37, car
2022-10-12 07:51:13.86, 34, 2->3, 5.08, car
2022-10-12 07:51:15.32, 34, 2->3, 5.17, car
2022-10-12 07:51:23.06, 34, 2->3, 6.09, bus_m
2022-10-12 07:51:27.26, 34, 2->3, 4.87, car
2022-10-12 07:51:29.12, 34, 2->3, 4.92, car
2022-10-12 07:53:37.05, 34, 0->1, 28.75, bus_m
2022-10-12 07:54:02.18, 34, 0->1, 21.58, car
2022-10-12 07:54:10.65, 34, 0->1, 30.79, car
2022-10-12 07:54:19.58, 34, 2->3, 5.27, car
2022-10-12 07:54:21.38, 34, 2->3, 5.6, car
2022-10-12 07:54:26.98, 34, 2->3, 4.71, car
