2022-10-12 07:30:03.54, 4, 1->0, 7.88, car
2022-10-12 07:30:05.20, 4, 1->0, 8.71, car
2022-10-12 07:30:06.74, 4, 3->2, 5.63, car
2022-10-12 07:30:06.87, 4, 1->0, 9.22, car
2022-10-12 07:30:08.34, 4, 3->2, 5.34, car
2022-10-12 07:30:10.47, 4, 1->0, 6.89, car
2022-10-12 07:30:11.00, 4, 3->0, 9.27, car
2022-10-12 07:30:11.67, 4, 3->2, 6.77, car
2022-10-12 07:30:12.20, 4, 1->0, 6.7, car
2022-10-12 07:30:13.54, 4, 3->2, 6.29, car
2022-10-12 07:30:13.67, 4, 1->0, 6.47, car
2022-10-12 07:30:15.20, 4, 1->0, 6.28, car
2022-10-12 07:30:15.40, 4, 3->2, 6.36, car
2022-10-12 07:30:16.74, 4, 0->1, 19.34, car
2022-10-12 07:30:16.94, 4, 1->0, 5.73, car
2022-10-12 07:30:17.27, 4, 3->2, 6.81, car
2022-10-12 07:30:18.67, 4, 1->0, 5.97, car
2022-10-12 07:30:19.07, 4, 3->2, 7.17, car
2022-10-12 07:30:20.27, 4, 1->0, 5.63, car
2022-10-12 07:30:21.14, 4, 3->0, 5.6, car
2022-10-12 07:30:22.94, 4, 0->1, 19.57, car
2022-10-12 07:30:23.34, 4, 2->0, 4.94, car
2022-10-12 07:30:24.27, 4, 2->0, 5.62, car
2022-10-12 07:30:25.00, 4, 2->0, 5.49, truck_s
2022-10-12 07:30:26.40, 4, 2->0, 5.83, car
2022-10-12 07:30:28.60, 4, 2->0, 4.73, car
2022-10-12 07:30:29.14, 4, 2->0, 5.61, car
2022-10-12 07:30:30.07, 4, 2->1, 8.22, car
2022-10-12 07:30:30.20, 4, 2->1, 5.99, car
2022-10-12 07:30:30.87, 4, 2->0, 5.22, car
2022-10-12 07:30:31.47, 4, 2->0, 6.83, car
2022-10-12 07:30:32.07, 4, 2->1, 8.34, car
2022-10-12 07:30:33.47, 4, 2->0, 6.02, car
2022-10-12 07:30:34.27, 4, 2->0, 6.71, car
2022-10-12 07:30:35.54, 4, 2->0, 7.15, car
2022-10-12 07:30:35.67, 4, 0->1, 10.69, car
2022-10-12 07:30:35.87, 4, 2->1, 10.39, car
2022-10-12 07:30:36.74, 4, 2->0, 6.55, car
2022-10-12 07:30:37.60, 4, 2->0, 7.05, car
2022-10-12 07:30:39.14, 4, 2->0, 6.92, car
2022-10-12 07:30:40.40, 4, 2->1, 9.69, car
2022-10-12 07:30:41.00, 4, 2->0, 4.65, bus_m
2022-10-12 07:30:41.14, 4, 0->1, 9.5, car
2022-10-12 07:30:42.34, 4, 2->0, 5.79, car
2022-10-12 07:30:42.80, 4, 2->1, 11.79, car
2022-10-12 07:30:43.20, 4, 2->0, 5.47, car
2022-10-12 07:30:43.74, 4, 2->0, 6.06, car
2022-10-12 07:30:44.47, 4, 2->0, 5.71, car
2022-10-12 07:30:45.67, 4, 2->0, 6.06, car
2022-10-12 07:30:46.74, 4, 2->0, 5.38, car
2022-10-12 07:30:48.20, 4, 2->0, 5.52, car
2022-10-12 07:30:48.67, 4, 2->0, 5.49, car
2022-10-12 07:30:48.74, 4, 2->1, 7.09, car
2022-10-12 07:30:50.14, 4, 2->0, 6.4, car
2022-10-12 07:30:50.20, 4, 2->1, 6.59, car
2022-10-12 07:30:51.07, 4, 0->1, 12.58, car
2022-10-12 07:30:51.47, 4, 2->1, 7.12, car
2022-10-12 07:30:52.20, 4, 2->0, 6.26, car
2022-10-12 07:30:53.00, 4, 2->1, 6.72, car
2022-10-12 07:30:53.54, 4, 2->0, 7.06, car
2022-10-12 07:30:54.74, 4, 2->1, 6.27, car
2022-10-12 07:30:55.34, 4, 2->3, 5.91, car
2022-10-12 07:30:55.80, 4, 0->1, 12.83, truck_s
2022-10-12 07:30:55.94, 4, 2->0, 6.88, car
2022-10-12 07:30:55.94, 4, 2->1, 5.71, car
2022-10-12 07:30:56.34, 4, 2->1, 6.19, car
2022-10-12 07:30:59.27, 4, 3->0, 6.91, car
2022-10-12 07:31:00.20, 4, 0->3, 6.58, car
2022-10-12 07:31:00.67, 4, 0->2, 0.59, car
2022-10-12 07:31:01.67, 4, 0->3, 6.08, car
2022-10-12 07:31:02.47, 4, 0->2, 6.28, car
2022-10-12 07:31:03.34, 4, 0->2, 7.19, car
2022-10-12 07:31:05.07, 4, 0->2, 6.58, car
2022-10-12 07:31:05.14, 4, 0->2, 6.22, car
2022-10-12 07:31:06.94, 4, 0->2, 5.93, car
2022-10-12 07:31:07.87, 4, 0->2, 6.17, car
2022-10-12 07:31:10.40, 4, 0->3, 8.93, truck_s
2022-10-12 07:31:10.80, 4, 0->2, 6.46, bus_s
2022-10-12 07:31:14.40, 4, 0->2, 7.15, car
2022-10-12 07:31:15.34, 4, 0->2, 6.93, car
2022-10-12 07:31:16.60, 4, 0->2, 8.17, car
2022-10-12 07:31:18.00, 4, 0->2, 8.36, car
2022-10-12 07:31:18.47, 4, 0->2, 6.96, truck_s
2022-10-12 07:31:20.13, 4, 0->2, 6.75, car
2022-10-12 07:31:20.40, 4, 0->2, 9.68, car
2022-10-12 07:31:21.13, 4, 0->2, 6.81, truck_s
2022-10-12 07:31:22.40, 4, 0->1, 0.9, car
2022-10-12 07:31:22.47, 4, 0->2, 6.88, truck_s
2022-10-12 07:31:23.53, 4, 0->2, 7.82, car
2022-10-12 07:31:23.87, 4, 0->3, 8.03, car
2022-10-12 07:31:26.20, 4, 0->2, 7.38, car
2022-10-12 07:31:26.40, 4, 0->1, 9.44, car
2022-10-12 07:31:26.60, 4, 0->2, 9.47, car
2022-10-12 07:31:28.20, 4, 0->2, 7.54, car
2022-10-12 07:31:28.33, 4, 0->2, 10.11, car
2022-10-12 07:31:29.53, 4, 0->1, 15.65, car
2022-10-12 07:31:30.60, 4, 0->2, 9.02, car
2022-10-12 07:31:31.33, 4, 0->1, 21.24, car
2022-10-12 07:31:32.47, 4, 0->3, 7.88, car
2022-10-12 07:31:41.20, 4, 3->1, 4.59, truck_s
2022-10-12 07:31:42.47, 4, 3->1, 6.17, car
2022-10-12 07:31:42.93, 4, 3->1, 7.07, car
2022-10-12 07:31:44.40, 4, 3->1, 7.46, car
2022-10-12 07:31:44.67, 4, 3->1, 5.7, car
2022-10-12 07:31:44.93, 4, 1->3, 8.46, car
2022-10-12 07:31:46.13, 4, 3->1, 7.71, car
2022-10-12 07:31:47.07, 4, 3->1, 6.07, car
2022-10-12 07:31:47.60, 4, 1->3, 8.75, car
2022-10-12 07:31:48.53, 4, 3->1, 7.72, car
2022-10-12 07:31:49.87, 4, 3->1, 6.71, car
2022-10-12 07:31:51.07, 4, 1->3, 4.65, bus_m
2022-10-12 07:31:51.53, 4, 3->1, 6.48, car
2022-10-12 07:31:52.40, 4, 3->1, 7.04, car
2022-10-12 07:31:52.60, 4, 1->3, 7.69, car
2022-10-12 07:31:53.60, 4, 3->1, 6.44, car
2022-10-12 07:31:54.40, 4, 3->1, 7.38, car
2022-10-12 07:31:55.00, 4, 1->3, 6.03, car
2022-10-12 07:31:55.87, 4, 1->3, 8.03, car
2022-10-12 07:31:56.00, 4, 3->1, 6.93, car
2022-10-12 07:31:56.67, 4, 1->3, 7.21, car
2022-10-12 07:31:57.47, 4, 1->3, 7.89, car
2022-10-12 07:31:57.47, 4, 3->1, 7.34, car
2022-10-12 07:31:59.53, 4, 1->3, 8.24, car
2022-10-12 07:31:59.93, 4, 3->1, 8.61, car
2022-10-12 07:32:01.47, 4, 1->3, 7.9, car
2022-10-12 07:32:02.87, 4, 3->1, 8.47, car
2022-10-12 07:32:03.60, 4, 1->3, 7.47, car
2022-10-12 07:32:03.67, 4, 3->1, 8.3, car
2022-10-12 07:32:04.40, 4, 1->3, 8.38, car
2022-10-12 07:32:05.07, 4, 3->1, 8.01, car
2022-10-12 07:32:05.67, 4, 1->3, 7.39, car
2022-10-12 07:32:06.47, 4, 3->1, 8.34, car
2022-10-12 07:32:06.60, 4, 1->3, 7.53, car
2022-10-12 07:32:07.80, 4, 3->1, 8.25, car
2022-10-12 07:32:08.13, 4, 3->1, 9.22, car
2022-10-12 07:32:08.87, 4, 3->1, 7.98, car
2022-10-12 07:32:09.73, 4, 3->1, 8.95, car
2022-10-12 07:32:11.87, 4, 3->1, 7.68, car
2022-10-12 07:32:12.47, 4, 1->3, 9.51, car
2022-10-12 07:32:13.20, 4, 3->1, 8.98, car
2022-10-12 07:32:13.40, 4, 1->2, 1.09, car
2022-10-12 07:32:13.73, 4, 3->1, 8.09, car
2022-10-12 07:32:15.13, 4, 1->2, 5.11, car
2022-10-12 07:32:15.20, 4, 3->1, 7.71, car
2022-10-12 07:32:15.80, 4, 3->1, 8.35, car
2022-10-12 07:32:16.40, 4, 3->1, 8.94, car
2022-10-12 07:32:17.67, 4, 1->2, 7.71, car
2022-10-12 07:32:17.93, 4, 3->1, 7.36, car
2022-10-12 07:32:18.93, 4, 3->1, 8.37, car
2022-10-12 07:32:19.00, 4, 1->3, 7.84, car
2022-10-12 07:32:20.33, 4, 3->1, 7.78, car
2022-10-12 07:32:20.53, 4, 3->0, 13.0, car
2022-10-12 07:32:20.60, 4, 1->2, 8.67, car
2022-10-12 07:32:20.80, 4, 1->3, 8.83, car
2022-10-12 07:32:21.27, 4, 3->1, 9.02, car
2022-10-12 07:32:23.20, 4, 3->1, 8.83, truck_s
2022-10-12 07:32:23.47, 4, 1->2, 9.38, car
2022-10-12 07:32:24.80, 4, 3->1, 9.79, car
2022-10-12 07:32:27.07, 4, 3->1, 10.28, car
