2022-10-12 07:30:20.92, 40, 2->3, 2.12, car
2022-10-12 07:30:44.52, 40, 3->1, 12.12, car
2022-10-12 07:30:44.85, 40, 3->1, 11.24, car
2022-10-12 07:30:46.19, 40, 3->1, 13.33, car
2022-10-12 07:30:46.65, 40, 3->1, 11.76, car
2022-10-12 07:30:47.65, 40, 3->1, 15.28, car
2022-10-12 07:30:53.99, 40, 3->1, 11.72, car
2022-10-12 07:30:54.25, 40, 3->1, 10.21, car
2022-10-12 07:30:54.92, 40, 1->3, 9.82, car
2022-10-12 07:30:56.52, 40, 3->1, 12.32, car
2022-10-12 07:31:05.72, 40, 1->3, 10.49, car
2022-10-12 07:31:08.59, 40, 1->3, 11.62, car
2022-10-12 07:31:08.59, 40, 3->1, 15.21, car
2022-10-12 07:31:15.19, 40, 1->3, 12.9, car
2022-10-12 07:31:20.72, 40, 1->3, 11.19, car
2022-10-12 07:31:23.72, 40, 3->1, 14.18, car
2022-10-12 07:31:30.25, 40, 3->1, 16.76, car
2022-10-12 07:31:31.45, 40, 3->1, 17.64, car
2022-10-12 07:31:32.85, 40, 3->1, 17.47, car
2022-10-12 07:31:41.39, 40, 3->1, 15.27, car
2022-10-12 07:31:46.45, 40, 3->1, 16.44, car
2022-10-12 07:31:51.92, 40, 3->1, 16.03, car
2022-10-12 07:32:07.81, 40, 2->3, 9.59, car
2022-10-12 07:33:15.08, 40, 3->1, 14.46, car
2022-10-12 07:33:15.48, 40, 3->1, 10.09, car
2022-10-12 07:33:22.21, 40, 3->1, 10.18, car
2022-10-12 07:33:23.81, 40, 3->1, 10.8, car
2022-10-12 07:33:26.81, 40, 3->1, 11.48, car
2022-10-12 07:33:28.54, 40, 3->1, 11.93, car
2022-10-12 07:33:28.87, 40, 3->1, 14.08, car
2022-10-12 07:33:33.01, 40, 1->3, 11.24, car
2022-10-12 07:33:34.94, 40, 1->3, 10.79, car
2022-10-12 07:33:36.61, 40, 3->1, 14.8, car
2022-10-12 07:33:38.14, 40, 1->3, 11.22, car
