2022-10-06 07:31:03.80, 5, 5->4, 39.8, car
2022-10-06 07:31:12.07, 5, 0->2, 3.34, car
2022-10-06 07:31:12.20, 5, 0->2, 2.34, bus_m
2022-10-06 07:31:12.33, 5, 5->4, 31.67, car
2022-10-06 07:31:20.67, 5, 0->2, 3.7, car
2022-10-06 07:31:26.80, 5, 5->4, 13.34, car
2022-10-06 07:31:32.67, 5, 5->4, 28.63, car
2022-10-06 07:31:35.73, 5, 0->2, 3.68, car
2022-10-06 07:31:43.07, 5, 5->4, 12.32, car
2022-10-06 07:31:57.27, 5, 0->2, 4.27, car
2022-10-06 07:31:57.80, 5, 5->4, 28.89, car
2022-10-06 07:32:03.40, 5, 2->1, 8.18, car
2022-10-06 07:32:04.47, 5, 5->4, 41.08, car
2022-10-06 07:32:06.47, 5, 5->4, 36.0, car
2022-10-06 07:32:12.66, 5, 5->4, 33.85, car
2022-10-06 07:32:14.59, 5, 5->4, 27.97, truck_m
2022-10-06 07:32:17.26, 5, 5->4, 30.53, car
2022-10-06 07:32:18.66, 5, 2->1, 4.62, car
2022-10-06 07:32:19.73, 5, 5->4, 32.33, car
2022-10-06 07:32:22.13, 5, 5->4, 29.26, car
2022-10-06 07:32:23.19, 5, 2->1, 5.19, car
2022-10-06 07:32:25.39, 5, 5->4, 27.73, car
2022-10-06 07:34:26.55, 5, 0->2, 2.18, bus_m
2022-10-06 07:34:28.75, 5, 0->2, 2.94, car
2022-10-06 07:34:37.68, 5, 0->2, 2.86, bus_m
2022-10-06 07:35:04.82, 5, 5->4, 46.72, car
2022-10-06 07:35:05.02, 5, 2->0, 5.08, car
2022-10-06 07:35:05.22, 5, 0->2, 3.81, car
2022-10-06 07:35:06.95, 5, 0->2, 4.19, car
2022-10-06 07:35:08.02, 5, 0->2, 4.56, car
2022-10-06 07:35:08.15, 5, 5->4, 39.73, car
2022-10-06 07:35:08.95, 5, 0->2, 3.6, car
2022-10-06 07:35:11.02, 5, 0->2, 4.28, car
2022-10-06 07:35:17.62, 5, 0->2, 4.53, car
2022-10-06 07:35:18.88, 5, 2->0, 5.06, car
2022-10-06 07:35:24.62, 5, 2->0, 5.23, car
