2022-10-05 07:29:56.44, 6, 1->3, 2.9, truck_s
2022-10-05 07:30:08.01, 6, 1->0, 2.58, car
2022-10-05 07:30:09.27, 6, 1->0, 2.81, car
2022-10-05 07:30:10.51, 6, 1->0, 1.91, car
2022-10-05 07:30:12.61, 6, 1->0, 2.17, car
2022-10-05 07:30:14.61, 6, 1->0, 1.83, truck_s
2022-10-05 07:30:14.81, 6, 1->0, 1.84, bus_m
2022-10-05 07:30:23.14, 6, 1->0, 2.01, truck_s
2022-10-05 07:30:26.14, 6, 1->0, 1.87, car
2022-10-05 07:30:27.24, 6, 1->0, 2.5, car
2022-10-05 07:30:30.07, 6, 1->0, 1.95, car
2022-10-05 07:30:31.57, 6, 1->0, 2.13, car
2022-10-05 07:30:42.07, 6, 2->0, 1.48, bus_m
2022-10-05 07:30:43.54, 6, 2->0, 1.58, car
2022-10-05 07:30:45.14, 6, 2->0, 1.77, car
2022-10-05 07:30:45.31, 6, 2->1, 3.16, car
2022-10-05 07:30:46.54, 6, 2->0, 2.5, car
2022-10-05 07:30:48.01, 6, 2->1, 1.7, car
2022-10-05 07:30:49.11, 6, 2->0, 1.62, car
2022-10-05 07:30:49.97, 6, 2->1, 1.55, car
2022-10-05 07:30:50.84, 6, 2->0, 2.77, car
2022-10-05 07:30:50.87, 6, 2->0, 1.79, car
2022-10-05 07:30:54.51, 6, 2->0, 2.22, car
2022-10-05 07:30:54.57, 6, 2->1, 1.88, car
2022-10-05 07:30:57.37, 6, 2->1, 1.7, car
2022-10-05 07:30:57.44, 6, 2->0, 1.98, bus_m
2022-10-05 07:30:58.04, 6, 2->0, 2.02, car
2022-10-05 07:30:59.54, 6, 2->0, 2.41, car
2022-10-05 07:31:02.31, 6, 2->0, 2.23, car
2022-10-05 07:31:05.37, 6, 2->0, 1.89, car
2022-10-05 07:31:05.84, 6, 2->0, 2.53, car
2022-10-05 07:31:08.94, 6, 2->0, 2.67, car
2022-10-05 07:31:09.71, 6, 2->0, 1.9, car
2022-10-05 07:31:10.71, 6, 2->0, 2.53, car
2022-10-05 07:31:13.64, 6, 2->1, 1.81, car
2022-10-05 07:31:14.74, 6, 2->0, 2.22, car
2022-10-05 07:31:15.54, 6, 2->1, 1.97, car
2022-10-05 07:31:17.17, 6, 2->0, 1.75, car
2022-10-05 07:31:17.17, 6, 2->1, 2.03, car
2022-10-05 07:31:17.71, 6, 2->0, 2.27, car
2022-10-05 07:31:19.11, 6, 2->1, 2.27, car
2022-10-05 07:31:20.14, 6, 2->0, 2.24, car
2022-10-05 07:31:21.37, 6, 2->0, 2.03, car
2022-10-05 07:31:22.37, 6, 2->1, 2.28, car
2022-10-05 07:31:22.54, 6, 2->0, 2.15, truck_s
2022-10-05 07:31:24.51, 6, 2->0, 2.2, car
2022-10-05 07:31:25.21, 6, 2->0, 2.12, car
2022-10-05 07:31:25.34, 6, 2->0, 2.71, car
2022-10-05 07:31:25.97, 6, 2->1, 2.07, car
2022-10-05 07:31:27.31, 6, 2->0, 2.78, car
2022-10-05 07:31:28.94, 6, 2->0, 2.36, car
2022-10-05 07:31:30.04, 6, 2->0, 2.26, car
2022-10-05 07:31:30.84, 6, 2->0, 2.42, bus_m
2022-10-05 07:31:32.57, 6, 2->0, 2.41, car
2022-10-05 07:31:34.24, 6, 2->0, 2.88, car
2022-10-05 07:31:35.57, 6, 2->0, 1.91, car
2022-10-05 07:31:37.54, 6, 2->0, 2.38, bus_m
2022-10-05 07:31:37.77, 6, 2->0, 1.98, car
2022-10-05 07:31:40.77, 6, 2->0, 2.76, car
2022-10-05 07:31:42.11, 6, 2->0, 1.95, bus_m
2022-10-05 07:31:44.97, 6, 2->0, 2.0, bus_m
2022-10-05 07:31:45.14, 6, 2->0, 2.27, car
2022-10-05 07:31:48.11, 6, 2->0, 2.1, bus_m
2022-10-05 07:31:51.63, 6, 2->0, 2.71, car
2022-10-05 07:31:52.93, 6, 2->0, 2.07, bus_m
2022-10-05 07:31:55.10, 6, 2->0, 2.36, car
2022-10-05 07:31:57.07, 6, 2->0, 2.51, car
2022-10-05 07:31:57.87, 6, 2->0, 1.88, car
2022-10-05 07:32:00.00, 6, 2->0, 3.15, car
2022-10-05 07:32:04.17, 6, 0->1, 7.82, bus_m
2022-10-05 07:32:04.37, 6, 2->0, 2.77, car
2022-10-05 07:32:05.90, 6, 2->0, 3.11, car
2022-10-05 07:32:09.57, 6, 2->0, 2.9, car
2022-10-05 07:32:10.07, 6, 2->0, 3.08, car
2022-10-05 07:32:13.63, 6, 2->0, 3.21, car
2022-10-05 07:32:14.77, 6, 0->2, 1.7, car
2022-10-05 07:32:14.80, 6, 2->0, 3.84, car
2022-10-05 07:32:19.77, 6, 0->2, 2.71, car
2022-10-05 07:32:21.27, 6, 2->0, 2.74, car
2022-10-05 07:32:22.87, 6, 2->0, 2.98, car
2022-10-05 07:32:23.00, 6, 0->2, 2.38, car
2022-10-05 07:32:25.83, 6, 2->0, 2.71, car
