2022-10-12 07:29:44.26, 8, 1->3, 7.01, car
2022-10-12 07:29:44.73, 8, 3->1, 5.97, car
2022-10-12 07:29:47.33, 8, 1->3, 6.18, car
2022-10-12 07:29:47.53, 8, 3->1, 6.29, car
2022-10-12 07:29:50.13, 8, 3->1, 4.7, car
2022-10-12 07:29:51.06, 8, 3->1, 5.85, truck_s
2022-10-12 07:29:51.93, 8, 3->1, 4.78, car
2022-10-12 07:29:53.39, 8, 3->1, 4.75, car
2022-10-12 07:29:54.19, 8, 3->1, 6.03, car
2022-10-12 07:29:54.79, 8, 3->1, 4.95, car
2022-10-12 07:29:55.33, 8, 3->1, 5.17, truck_s
2022-10-12 07:29:57.46, 8, 3->1, 4.97, car
2022-10-12 07:29:59.33, 8, 3->1, 5.27, car
2022-10-12 07:30:00.99, 8, 3->1, 4.96, car
2022-10-12 07:30:01.33, 8, 3->1, 5.44, car
2022-10-12 07:30:03.33, 8, 3->1, 5.3, truck_s
2022-10-12 07:30:04.46, 8, 3->1, 5.22, car
2022-10-12 07:30:06.13, 8, 3->1, 4.81, car
2022-10-12 07:30:06.46, 8, 3->1, 6.03, car
2022-10-12 07:30:07.66, 8, 1->2, 39.38, car
2022-10-12 07:30:11.06, 8, 3->1, 3.4, car
2022-10-12 07:30:12.26, 8, 3->1, 6.34, car
2022-10-12 07:30:12.26, 8, 3->0, 0.58, bus_m
2022-10-12 07:30:12.86, 8, 3->1, 6.56, car
2022-10-12 07:30:13.79, 8, 3->1, 6.16, car
2022-10-12 07:30:13.93, 8, 0->1, 10.9, car
2022-10-12 07:30:14.59, 8, 1->2, 51.7, truck_s
2022-10-12 07:30:14.66, 8, 3->1, 6.24, car
2022-10-12 07:30:16.19, 8, 3->1, 5.72, car
2022-10-12 07:30:16.19, 8, 3->0, 3.61, bus_m
2022-10-12 07:30:17.39, 8, 3->1, 5.71, car
2022-10-12 07:30:18.06, 8, 3->1, 6.86, car
2022-10-12 07:30:18.59, 8, 0->1, 13.57, truck_s
2022-10-12 07:30:19.39, 8, 3->1, 3.47, car
2022-10-12 07:30:20.33, 8, 1->3, 5.82, car
2022-10-12 07:30:20.99, 8, 3->1, 9.42, car
2022-10-12 07:30:22.19, 8, 3->0, 9.44, car
2022-10-12 07:30:22.73, 8, 3->1, 8.34, car
2022-10-12 07:30:23.86, 8, 3->0, 12.32, car
2022-10-12 07:30:25.19, 8, 3->1, 8.98, car
2022-10-12 07:30:25.39, 8, 1->3, 5.4, car
2022-10-12 07:30:25.79, 8, 0->1, 21.11, truck_s
2022-10-12 07:30:26.06, 8, 3->1, 7.27, car
2022-10-12 07:30:26.26, 8, 3->0, 8.0, bus_m
2022-10-12 07:30:27.39, 8, 1->3, 5.57, truck_s
2022-10-12 07:30:27.59, 8, 3->1, 7.94, car
2022-10-12 07:30:28.19, 8, 1->2, 15.59, car
2022-10-12 07:30:28.86, 8, 3->1, 3.34, car
2022-10-12 07:30:30.66, 8, 1->2, 8.88, bus_m
2022-10-12 07:30:31.06, 8, 3->1, 7.56, car
2022-10-12 07:30:32.99, 8, 3->1, 6.23, car
2022-10-12 07:30:33.06, 8, 0->1, 13.71, truck_s
2022-10-12 07:30:33.06, 8, 3->0, 11.58, bus_m
2022-10-12 07:30:35.73, 8, 3->1, 7.33, car
2022-10-12 07:30:36.79, 8, 3->1, 8.14, car
2022-10-12 07:30:37.33, 8, 3->0, 10.66, bus_m
2022-10-12 07:30:37.73, 8, 0->1, 9.79, truck_s
2022-10-12 07:30:37.86, 8, 1->2, 9.62, car
2022-10-12 07:30:38.06, 8, 3->1, 7.66, car
2022-10-12 07:30:39.73, 8, 3->1, 7.17, car
2022-10-12 07:30:40.79, 8, 3->1, 7.18, car
2022-10-12 07:30:41.13, 8, 3->0, 12.4, car
2022-10-12 07:30:42.06, 8, 3->1, 7.39, car
2022-10-12 07:30:43.59, 8, 3->1, 7.28, car
2022-10-12 07:30:43.99, 8, 3->1, 8.27, car
2022-10-12 07:30:45.33, 8, 3->0, 9.55, bus_m
2022-10-12 07:30:47.06, 8, 1->2, 8.3, car
2022-10-12 07:30:50.99, 8, 0->2, 0.71, car
2022-10-12 07:30:52.46, 8, 0->2, 5.11, car
2022-10-12 07:30:52.86, 8, 0->2, 5.68, car
2022-10-12 07:30:53.19, 8, 0->2, 5.16, car
2022-10-12 07:30:53.93, 8, 0->2, 4.74, car
2022-10-12 07:30:54.99, 8, 0->2, 6.34, car
2022-10-12 07:30:55.26, 8, 0->2, 4.81, car
2022-10-12 07:30:56.13, 8, 0->2, 5.52, car
2022-10-12 07:30:56.26, 8, 0->2, 4.75, car
2022-10-12 07:30:56.93, 8, 0->2, 5.41, car
2022-10-12 07:30:57.59, 8, 0->2, 3.46, bus_m
2022-10-12 07:30:58.26, 8, 0->2, 4.97, car
2022-10-12 07:30:58.33, 8, 0->2, 5.66, car
2022-10-12 07:30:59.79, 8, 0->2, 4.2, car
2022-10-12 07:31:00.73, 8, 0->2, 4.04, bus_m
2022-10-12 07:31:01.13, 8, 0->2, 6.6, car
2022-10-12 07:31:03.06, 8, 0->2, 5.25, truck_s
2022-10-12 07:31:03.19, 8, 0->2, 3.59, car
2022-10-12 07:31:04.39, 8, 0->2, 5.39, car
2022-10-12 07:31:05.19, 8, 0->2, 3.46, car
2022-10-12 07:31:06.99, 8, 0->2, 5.86, car
2022-10-12 07:31:07.59, 8, 0->2, 3.9, truck_s
2022-10-12 07:31:07.73, 8, 0->2, 5.97, car
2022-10-12 07:31:08.46, 8, 0->2, 4.9, car
2022-10-12 07:31:08.93, 8, 0->2, 4.04, bus_m
2022-10-12 07:31:09.99, 8, 0->2, 4.62, car
2022-10-12 07:31:10.06, 8, 0->2, 4.97, car
2022-10-12 07:31:10.26, 8, 0->2, 5.17, car
2022-10-12 07:31:11.99, 8, 0->2, 6.02, car
2022-10-12 07:31:12.46, 8, 0->2, 4.32, bus_m
2022-10-12 07:31:13.13, 8, 0->2, 4.99, car
2022-10-12 07:31:13.33, 8, 0->2, 5.31, car
2022-10-12 07:31:14.59, 8, 0->2, 5.33, car
2022-10-12 07:31:14.79, 8, 0->2, 5.47, car
2022-10-12 07:31:15.86, 8, 0->2, 6.66, car
2022-10-12 07:31:18.46, 8, 2->0, 3.57, car
2022-10-12 07:31:18.66, 8, 0->2, 6.89, car
2022-10-12 07:31:18.79, 8, 0->2, 6.61, car
2022-10-12 07:31:18.86, 8, 0->2, 6.35, truck_s
2022-10-12 07:31:19.39, 8, 2->0, 4.3, car
2022-10-12 07:31:20.39, 8, 3->0, 11.42, car
