2022-10-05 07:29:01.98, 9, 1->0, 33.28, car
2022-10-05 07:29:08.65, 9, 1->0, 25.94, car
2022-10-05 07:29:55.58, 9, 1->0, 22.44, car
2022-10-05 07:30:16.72, 9, 1->0, 38.62, car
2022-10-05 07:30:26.18, 9, 1->0, 26.99, car
2022-10-05 07:30:30.98, 9, 1->0, 22.65, truck_s
2022-10-05 07:30:38.05, 9, 1->0, 7.56, truck_s
2022-10-05 07:31:00.38, 9, 1->0, 3.84, truck_m
2022-10-05 07:31:14.51, 9, 1->0, 19.53, truck_m
2022-10-05 07:31:25.64, 9, 1->0, 33.53, car
2022-10-05 07:31:27.64, 9, 1->0, 38.61, car
2022-10-05 07:31:30.04, 9, 1->0, 45.1, car
2022-10-05 07:31:36.11, 9, 1->0, 23.99, truck_s
2022-10-05 07:31:40.38, 9, 1->0, 20.55, truck_s
2022-10-05 07:31:44.71, 9, 1->0, 10.34, car
2022-10-05 07:31:54.24, 9, 1->0, 5.48, truck_s
2022-10-05 07:32:11.38, 9, 1->0, 9.97, car
2022-10-05 07:32:19.04, 9, 1->0, 18.12, car
2022-10-05 07:32:52.44, 9, 1->0, 31.56, car
2022-10-05 07:33:05.40, 9, 1->0, 17.1, bus_m
2022-10-05 07:33:45.87, 9, 1->0, 5.28, car
2022-10-05 07:33:54.94, 9, 1->0, 14.56, car
2022-10-05 07:34:00.94, 9, 1->0, 13.96, car
2022-10-05 07:34:13.20, 9, 1->0, 8.34, bus_m
2022-10-05 07:34:30.40, 9, 1->0, 19.33, truck_s
2022-10-05 07:34:33.66, 9, 1->0, 21.25, car
2022-10-05 07:34:36.66, 9, 1->0, 19.54, car
2022-10-05 07:34:40.73, 9, 1->0, 19.4, car
2022-10-05 07:34:44.20, 9, 1->0, 24.02, car
2022-10-05 07:34:46.60, 9, 1->0, 22.68, car
2022-10-05 07:34:50.80, 9, 1->0, 36.02, car
2022-10-05 07:35:29.93, 9, 1->0, 33.69, car
2022-10-05 07:35:41.46, 9, 1->0, 39.04, car
2022-10-05 07:35:48.46, 9, 1->0, 29.55, truck_s
2022-10-05 07:35:52.40, 9, 1->0, 25.27, car
2022-10-05 07:35:57.20, 9, 1->0, 12.4, car
2022-10-05 07:36:21.53, 9, 1->0, 9.35, truck_m
2022-10-05 07:36:25.40, 9, 1->0, 21.22, car
2022-10-05 07:36:55.65, 9, 1->0, 36.68, car
2022-10-05 07:37:19.25, 9, 1->0, 40.54, car
2022-10-05 07:37:25.39, 9, 1->0, 23.4, car
2022-10-05 07:37:30.12, 9, 1->0, 13.6, truck_s
2022-10-05 07:37:44.39, 9, 1->0, 4.2, car
2022-10-05 07:37:57.72, 9, 1->0, 2.72, car
2022-10-05 07:38:05.59, 9, 1->0, 12.17, car
2022-10-05 07:38:09.25, 9, 1->0, 25.91, car
2022-10-05 07:38:12.65, 9, 1->0, 31.28, bus_m
2022-10-05 07:38:16.85, 9, 1->0, 41.49, car
2022-10-05 07:38:28.48, 9, 1->0, 53.21, truck_s
2022-10-05 07:38:30.55, 9, 1->0, 45.73, truck_s
2022-10-05 07:38:36.61, 9, 1->0, 45.36, car
2022-10-05 07:38:46.61, 9, 1->0, 20.94, bus_m
2022-10-05 07:38:50.95, 9, 1->0, 14.99, truck_s
2022-10-05 07:39:47.81, 9, 1->0, 2.67, car
2022-10-05 07:39:51.81, 9, 1->0, 16.09, car
2022-10-05 07:39:54.88, 9, 1->0, 17.26, car
2022-10-05 07:40:02.27, 9, 1->0, 20.67, car
2022-10-05 07:40:57.61, 9, 1->0, 46.33, car
2022-10-05 07:41:02.61, 9, 1->0, 32.52, car
2022-10-05 07:41:07.21, 9, 1->0, 25.63, car
2022-10-05 07:41:17.34, 9, 1->0, 10.42, truck_m
2022-10-05 07:41:31.61, 9, 1->0, 6.82, truck_s
2022-10-05 07:41:44.41, 9, 1->0, 7.48, car
2022-10-05 07:41:48.61, 9, 1->0, 13.84, car
2022-10-05 07:41:53.67, 9, 1->0, 13.39, car
2022-10-05 07:42:01.33, 9, 1->0, 36.5, car
2022-10-05 07:42:26.53, 9, 1->0, 47.65, car
2022-10-05 07:42:38.40, 9, 1->0, 21.96, truck_s
2022-10-05 07:42:44.67, 9, 1->0, 14.17, bus_m
2022-10-05 07:42:52.73, 9, 1->0, 6.83, car
2022-10-05 07:43:13.47, 9, 1->0, 9.08, car
2022-10-05 07:43:20.47, 9, 1->0, 8.79, car
2022-10-05 07:43:29.47, 9, 1->0, 4.55, car
2022-10-05 07:43:34.93, 9, 1->0, 15.65, car
2022-10-05 07:43:37.87, 9, 1->0, 25.72, car
2022-10-05 07:43:39.93, 9, 1->0, 28.72, car
2022-10-05 07:43:58.27, 9, 1->0, 30.05, car
2022-10-05 07:44:41.96, 9, 1->0, 22.34, car
2022-10-05 07:45:13.16, 9, 1->0, 0.77, car
2022-10-05 07:45:16.49, 9, 1->0, 18.08, car
2022-10-05 07:45:19.56, 9, 1->0, 33.19, car
2022-10-05 07:45:22.36, 9, 1->0, 34.56, car
2022-10-05 07:45:24.02, 9, 1->0, 36.13, car
2022-10-05 07:45:27.09, 9, 1->0, 31.5, car
2022-10-05 07:45:29.42, 9, 1->0, 35.18, car
2022-10-05 07:45:31.16, 9, 1->0, 37.74, car
2022-10-05 07:45:33.95, 9, 1->0, 35.06, car
2022-10-05 07:45:35.95, 9, 1->0, 34.94, car
2022-10-05 07:45:42.55, 9, 1->0, 46.62, car
2022-10-05 07:46:02.62, 9, 1->0, 47.54, car
2022-10-05 07:46:48.35, 9, 1->0, 24.71, car
2022-10-05 07:46:52.49, 9, 1->0, 13.42, car
2022-10-05 07:46:58.75, 9, 1->0, 6.3, truck_s
2022-10-05 07:47:04.29, 9, 1->0, 26.54, car
2022-10-05 07:47:07.09, 9, 1->0, 33.54, car
2022-10-05 07:48:30.68, 9, 1->0, 22.54, car
2022-10-05 07:48:34.74, 9, 1->0, 19.52, car
2022-10-05 07:48:39.01, 9, 1->0, 13.41, car
2022-10-05 07:48:45.08, 9, 1->0, 5.71, truck_s
2022-10-05 07:48:53.81, 9, 1->0, 10.78, car
2022-10-05 07:49:01.08, 9, 1->0, 8.19, truck_s
2022-10-05 07:49:07.74, 9, 1->0, 12.69, car
2022-10-05 07:49:15.61, 9, 1->0, 19.38, truck_m
2022-10-05 07:49:22.68, 9, 1->0, 29.15, car
2022-10-05 07:49:24.94, 9, 1->0, 28.69, car
2022-10-05 07:49:27.74, 9, 1->0, 32.49, car
2022-10-05 07:49:44.17, 9, 1->0, 27.93, car
2022-10-05 07:49:50.37, 9, 1->0, 40.2, car
2022-10-05 07:49:54.37, 9, 1->0, 34.96, car
2022-10-05 07:49:58.70, 9, 1->0, 30.9, car
2022-10-05 07:50:02.04, 9, 1->0, 22.07, car
2022-10-05 07:50:54.57, 9, 1->0, 0.43, car
2022-10-05 07:51:00.77, 9, 1->0, 10.84, car
2022-10-05 07:51:30.16, 9, 1->0, 0.94, car
2022-10-05 07:51:34.36, 9, 1->0, 11.33, car
2022-10-05 07:51:50.83, 9, 1->0, 6.62, car
2022-10-05 07:51:59.10, 9, 1->0, 8.03, car
2022-10-05 07:52:09.36, 9, 1->0, 3.02, car
2022-10-05 07:52:19.16, 9, 1->0, 8.6, car
2022-10-05 07:52:49.50, 9, 1->0, 1.31, bus_m
2022-10-05 07:52:56.30, 9, 1->0, 26.04, truck_s
2022-10-05 07:52:58.43, 9, 1->0, 35.05, car
2022-10-05 07:53:02.43, 9, 1->0, 33.28, bus_m
2022-10-05 07:53:04.76, 9, 1->0, 36.86, truck_s
2022-10-05 07:53:07.50, 9, 1->0, 31.28, car
2022-10-05 07:53:21.09, 9, 1->0, 25.0, truck_m
2022-10-05 07:53:23.69, 9, 1->0, 33.66, car
2022-10-05 07:53:25.76, 9, 1->0, 33.06, car
2022-10-05 07:53:28.22, 9, 1->0, 31.64, car
2022-10-05 07:53:29.96, 9, 1->0, 38.9, car
2022-10-05 07:53:32.29, 9, 1->0, 38.64, car
2022-10-05 07:53:35.49, 9, 1->0, 31.46, car
2022-10-05 07:53:39.02, 9, 1->0, 30.6, car
2022-10-05 07:53:42.76, 9, 1->0, 14.47, car
2022-10-05 07:54:39.09, 9, 1->0, 8.64, bus_m
2022-10-05 07:54:46.16, 9, 1->0, 8.75, truck_s
2022-10-05 07:55:05.82, 9, 1->0, 1.64, car
2022-10-05 07:55:21.05, 9, 1->0, 15.04, car
2022-10-05 07:55:28.38, 9, 1->0, 32.04, car
2022-10-05 07:55:33.58, 9, 1->0, 16.46, car
2022-10-05 07:56:02.85, 9, 1->0, 7.5, car
2022-10-05 07:56:08.98, 9, 1->0, 12.02, car
2022-10-05 07:56:25.11, 9, 1->0, 1.53, car
2022-10-05 07:56:31.04, 9, 1->0, 27.98, car
2022-10-05 07:56:33.18, 9, 1->0, 25.6, car
2022-10-05 07:56:45.98, 9, 1->0, 24.79, car
2022-10-05 07:56:48.44, 9, 1->0, 32.63, car
2022-10-05 07:56:51.78, 9, 1->0, 32.01, car
2022-10-05 07:56:53.78, 9, 1->0, 32.44, car
2022-10-05 07:56:55.78, 9, 1->0, 37.0, car
2022-10-05 07:56:59.91, 9, 1->0, 35.27, car
2022-10-05 07:57:01.84, 9, 1->0, 41.64, car
2022-10-05 07:57:03.84, 9, 1->0, 41.1, car
2022-10-05 07:57:05.44, 9, 1->0, 42.32, car
2022-10-05 07:57:13.78, 9, 1->0, 33.55, car
2022-10-05 07:57:16.44, 9, 1->0, 28.64, car
2022-10-05 07:57:19.98, 9, 1->0, 19.49, truck_s
2022-10-05 07:57:59.64, 9, 1->0, 0.59, car
2022-10-05 07:58:06.51, 9, 1->0, 9.7, truck_s
2022-10-05 07:58:12.24, 9, 1->0, 21.7, car
2022-10-05 07:58:18.98, 9, 1->0, 9.5, car
2022-10-05 07:58:25.78, 9, 1->0, 23.03, car
2022-10-05 07:58:31.78, 9, 1->0, 16.59, car
2022-10-05 07:58:42.37, 9, 1->0, 14.84, car
2022-10-05 07:58:47.23, 9, 1->0, 12.57, truck_s
2022-10-05 07:59:23.17, 9, 1->0, 30.28, car
2022-10-05 07:59:44.23, 9, 1->0, 47.12, car
2022-10-05 07:59:49.97, 9, 1->0, 35.28, car
2022-10-05 08:00:00.97, 9, 1->0, 33.41, truck_s
2022-10-05 08:00:03.43, 9, 1->0, 21.25, car
2022-10-05 08:00:12.10, 9, 1->0, 5.96, car
2022-10-05 08:00:15.17, 9, 1->0, 16.99, car
2022-10-05 08:00:17.77, 9, 1->0, 22.0, car
2022-10-05 08:00:20.03, 9, 1->0, 28.74, car
2022-10-05 08:00:23.57, 9, 1->0, 25.79, car
2022-10-05 08:00:45.66, 9, 1->0, 29.15, car
2022-10-05 08:00:47.86, 9, 1->0, 34.32, car
2022-10-05 08:00:50.59, 9, 1->0, 36.43, car
2022-10-05 08:01:05.39, 9, 1->0, 32.31, car
2022-10-05 08:01:28.53, 9, 1->0, 9.12, bus_m
2022-10-05 08:03:02.39, 9, 1->0, 48.01, car
2022-10-05 08:03:04.65, 9, 1->0, 36.23, truck_s
2022-10-05 08:03:09.85, 9, 1->0, 11.64, truck_m
2022-10-05 08:03:19.05, 9, 1->0, 4.29, car
2022-10-05 08:03:27.32, 9, 1->0, 7.28, car
2022-10-05 08:03:35.12, 9, 1->0, 5.64, car
2022-10-05 08:03:53.65, 9, 1->0, 8.33, car
2022-10-05 08:03:57.05, 9, 1->0, 28.57, truck_s
2022-10-05 08:04:01.39, 9, 1->0, 33.03, bus_m
2022-10-05 08:04:03.99, 9, 1->0, 30.59, car
2022-10-05 08:04:06.78, 9, 1->0, 35.05, bus_m
2022-10-05 08:04:09.31, 9, 1->0, 38.91, truck_s
2022-10-05 08:04:12.65, 9, 1->0, 46.21, car
2022-10-05 08:04:34.65, 9, 1->0, 44.9, car
2022-10-05 08:04:48.31, 9, 1->0, 12.99, bus_m
2022-10-05 08:04:54.31, 9, 1->0, 8.96, car
2022-10-05 08:05:13.58, 9, 1->0, 1.34, car
2022-10-05 08:05:21.18, 9, 1->0, 6.21, car
2022-10-05 08:05:35.05, 9, 1->0, 13.45, truck_m
2022-10-05 08:07:00.00, 9, 1->0, 0.29, car
2022-10-05 08:07:18.40, 9, 1->0, 13.0, car
2022-10-05 08:07:21.54, 9, 1->0, 18.47, car
2022-10-05 08:07:24.34, 9, 1->0, 17.25, car
2022-10-05 08:07:27.74, 9, 1->0, 15.88, car
2022-10-05 08:07:31.94, 9, 1->0, 30.08, car
2022-10-05 08:07:34.40, 9, 1->0, 32.43, car
2022-10-05 08:07:37.34, 9, 1->0, 30.13, car
2022-10-05 08:07:40.00, 9, 1->0, 30.68, car
2022-10-05 08:07:42.40, 9, 1->0, 29.68, car
2022-10-05 08:07:45.06, 9, 1->0, 34.94, car
2022-10-05 08:07:50.86, 9, 1->0, 33.6, car
2022-10-05 08:07:53.00, 9, 1->0, 32.06, car
2022-10-05 08:07:56.46, 9, 1->0, 41.97, car
2022-10-05 08:07:59.13, 9, 1->0, 47.48, car
2022-10-05 08:08:10.86, 9, 1->0, 32.57, car
2022-10-05 08:08:12.86, 9, 1->0, 31.54, car
2022-10-05 08:08:16.20, 9, 1->0, 20.91, car
2022-10-05 08:08:27.93, 9, 1->0, 16.88, car
2022-10-05 08:09:21.26, 9, 1->0, 2.33, car
2022-10-05 08:09:26.80, 9, 1->0, 12.69, car
2022-10-05 08:09:31.53, 9, 1->0, 15.15, car
2022-10-05 08:09:41.52, 9, 1->0, 8.96, car
2022-10-05 08:10:19.99, 9, 1->0, 36.72, car
2022-10-05 08:10:22.72, 9, 1->0, 41.48, car
2022-10-05 08:10:24.92, 9, 1->0, 33.16, car
2022-10-05 08:10:35.46, 9, 1->0, 16.03, car
2022-10-05 08:10:42.12, 9, 1->0, 19.37, car
2022-10-05 08:10:57.12, 9, 1->0, 1.75, car
2022-10-05 08:11:00.92, 9, 1->0, 16.08, car
2022-10-05 08:11:15.39, 9, 1->0, 39.93, car
2022-10-05 08:11:25.12, 9, 1->0, 52.96, car
2022-10-05 08:11:34.19, 9, 1->0, 55.78, car
2022-10-05 08:11:37.12, 9, 1->0, 54.61, car
2022-10-05 08:11:38.86, 9, 1->0, 47.13, car
2022-10-05 08:11:53.68, 9, 1->0, 40.44, car
2022-10-05 08:12:15.02, 9, 1->0, 28.03, truck_s
2022-10-05 08:12:17.55, 9, 1->0, 24.99, car
2022-10-05 08:12:50.68, 9, 1->0, 12.63, car
2022-10-05 08:13:06.35, 9, 1->0, 5.96, car
2022-10-05 08:13:10.88, 9, 1->0, 25.15, car
2022-10-05 08:14:03.94, 9, 1->0, 34.74, bus_m
2022-10-05 08:14:09.34, 9, 1->0, 14.84, truck_s
2022-10-05 08:14:18.54, 9, 1->0, 13.73, car
2022-10-05 08:14:26.81, 9, 1->0, 19.48, car
2022-10-05 08:14:30.88, 9, 1->0, 12.98, car
2022-10-05 08:14:36.48, 9, 1->0, 10.05, car
2022-10-05 08:14:41.48, 9, 1->0, 9.2, car
2022-10-05 08:14:54.41, 9, 1->0, 22.72, bus_m
2022-10-05 08:15:01.48, 9, 1->0, 36.59, car
2022-10-05 08:15:05.54, 9, 1->0, 39.18, car
2022-10-05 08:15:08.54, 9, 1->0, 46.05, truck_m
2022-10-05 08:15:12.81, 9, 1->0, 31.14, truck_s
2022-10-05 08:15:15.20, 9, 1->0, 33.13, car
2022-10-05 08:15:17.07, 9, 1->0, 34.59, car
2022-10-05 08:15:28.54, 9, 1->0, 35.54, car
